"BRCA","CHOL","COAD","ESCA","HNSC"
"ENSG00000034971.17","ENSG00000224943.1","ENSG00000182938.7","ENSG00000186009.5","ENSG00000126550.10"
"ENSG00000241151.1","ENSG00000194297.2","ENSG00000183034.13","ENSG00000230572.5","ENSG00000197870.12"
"ENSG00000237560.7","ENSG00000258179.1","ENSG00000167916.5","ENSG00000153446.16","ENSG00000151365.2"
"ENSG00000089199.10","ENSG00000141434.12","ENSG00000131482.10","ENSG00000187957.8","ENSG00000157330.10"
"ENSG00000275465.7","ENSG00000253939.1","ENSG00000182271.13","ENSG00000220113.2","ENSG00000181378.14"
"ENSG00000176194.18","ENSG00000197838.5","ENSG00000081800.9","ENSG00000152578.13","ENSG00000187533.14"
"ENSG00000186466.5","ENSG00000277737.3","ENSG00000103375.11","ENSG00000182836.10","ENSG00000178965.14"
"ENSG00000126545.14","ENSG00000286510.1","ENSG00000157005.4","ENSG00000157005.4","ENSG00000165309.14"
"ENSG00000153820.13","ENSG00000287718.1","ENSG00000257335.8","ENSG00000259702.3","ENSG00000157423.18"
"ENSG00000196616.14","ENSG00000285854.1","ENSG00000133742.14","ENSG00000237361.3","ENSG00000204711.9"
"ENSG00000236333.4","ENSG00000251424.1","ENSG00000044012.4","ENSG00000147606.9","ENSG00000160838.14"
"ENSG00000226482.1","ENSG00000262881.1","ENSG00000181092.10","ENSG00000140465.14","ENSG00000188523.9"
"ENSG00000253434.8","ENSG00000159650.9","ENSG00000256518.3","ENSG00000214510.10","ENSG00000004838.14"
"ENSG00000144908.14","ENSG00000237494.1","ENSG00000107611.16","ENSG00000111249.14","ENSG00000153822.14"
"ENSG00000259916.1","ENSG00000253959.1","ENSG00000131096.10","ENSG00000145242.13","ENSG00000160188.10"
"ENSG00000134548.11","ENSG00000042781.14","ENSG00000179520.11","ENSG00000267132.1","ENSG00000152611.12"
"ENSG00000246022.3","ENSG00000251443.2","ENSG00000141434.12","ENSG00000184608.9","ENSG00000230873.9"
"ENSG00000184601.11","ENSG00000118271.12","ENSG00000160868.15","ENSG00000110975.8","ENSG00000173702.7"
"ENSG00000187758.8","ENSG00000278965.1","ENSG00000060566.14","ENSG00000253105.6","ENSG00000131050.11"
"ENSG00000124440.16","ENSG00000230645.2","ENSG00000073734.10","ENSG00000174514.13","ENSG00000270765.6"
"ENSG00000184811.4","ENSG00000236267.1","ENSG00000139144.11","ENSG00000132855.5","ENSG00000012223.13"
"ENSG00000286322.1","ENSG00000224273.2","ENSG00000121871.4","ENSG00000177133.11","ENSG00000103089.9"
"ENSG00000187288.12","ENSG00000251049.2","ENSG00000184601.11","ENSG00000214708.4","ENSG00000164972.13"
