"EnsemblID","GeneSymbol","Total_DEG","Total_Up","Total_Dn","RRA_Score_pvalue","padj","Rank","Category","log_p"
"ENSG00000034971.17","MYOC",3,0,3,3.71490797621896e-05,0.175566550956108,1,"Not_Significant",0.755558222592333
"ENSG00000100604.13","CHGA",3,0,3,0.000139454243783821,0.224938641694851,2,"Not_Significant",0.647935931699528
"ENSG00000157005.4","SST",2,0,2,0.000142787965527836,0.224938641694851,3,"Not_Significant",0.647935931699528
"ENSG00000180287.17","PLD5",4,0,4,0.00043297917583026,0.481471588999014,4,"Not_Significant",0.317429334925724
"ENSG00000168309.18","FAM107A",4,0,4,0.000509385938424687,0.481471588999014,5,"Not_Significant",0.317429334925724
"ENSG00000141434.12","MEP1B",2,0,2,0.000642322567226907,0.505936075452394,6,"Not_Significant",0.295904352393533
"ENSG00000184601.11","C14orf180",2,0,2,0.00117275134020547,0.72761760778533,7,"Not_Significant",0.13809679988964
"ENSG00000136457.10","CHAD",5,1,4,0.00123168448207419,0.72761760778533,8,"Not_Significant",0.13809679988964
"ENSG00000187288.12","CIDEC",2,0,2,0.0018596897110465,0.970821635728483,9,"Not_Significant",0.0128605535465424
"ENSG00000111404.7","RERGL",3,0,3,0.00205421421017453,0.970821635728483,10,"Not_Significant",0.0128605535465424
"ENSG00000110975.8","SYT10",3,0,3,0.00255082293251657,0.982255504141743,11,"Not_Significant",0.0077755289079211
"ENSG00000181092.10","ADIPOQ",2,0,2,0.0027019300791034,0.982255504141743,12,"Not_Significant",0.0077755289079211
"ENSG00000184811.4","TRARG1",2,0,2,0.0027019300791034,0.982255504141743,13,"Not_Significant",0.0077755289079211
"ENSG00000013293.6","SLC7A14",3,0,3,0.00300920031865174,1,14,"Not_Significant",0
"ENSG00000275465.7","AL449403.2",3,1,2,0.00387922368964107,1,15,"Not_Significant",0
"ENSG00000176194.18","CIDEA",2,0,2,0.00444751436557727,1,16,"Not_Significant",0
"ENSG00000182938.7","OTOP3",1,0,1,0.005287647580812,1,17,"Not_Significant",0
"ENSG00000224943.1","LINC02819",1,0,1,0.005287647580812,1,18,"Not_Significant",0
"ENSG00000126550.10","HTN1",1,0,1,0.005287647580812,1,19,"Not_Significant",0
"ENSG00000186009.5","ATP4B",1,0,1,0.005287647580812,1,20,"Not_Significant",0
"ENSG00000198848.13","CES1",2,0,2,0.00547909418748304,1,21,"Not_Significant",0
"ENSG00000160097.20","FNDC5",2,0,2,0.00734760853672155,1,22,"Not_Significant",0
"ENSG00000130226.17","DPP6",2,0,2,0.00865060093502875,1,23,"Not_Significant",0
"ENSG00000100012.12","SEC14L3",2,0,2,0.0100567504061245,1,24,"Not_Significant",0
"ENSG00000183034.13","OTOP2",1,0,1,0.0105708207404472,1,25,"Not_Significant",0
"ENSG00000241151.1","LINC02066",1,0,1,0.0105708207404472,1,26,"Not_Significant",0
"ENSG00000194297.2","RNU1-75P",1,0,1,0.0105708207404472,1,27,"Not_Significant",0
"ENSG00000197870.12","PRB3",2,1,1,0.0105708207404472,1,28,"Not_Significant",0
"ENSG00000230572.5","AC027612.2",1,0,1,0.0105708207404472,1,29,"Not_Significant",0
"ENSG00000167281.19","RBFOX3",3,0,3,0.0106210607827388,1,30,"Not_Significant",0
"ENSG00000101098.13","RIMS4",3,1,2,0.0106479414990284,1,31,"Not_Significant",0
"ENSG00000104112.9","SCG3",4,1,3,0.0114907815432926,1,32,"Not_Significant",0
"ENSG00000187758.8","ADH1A",2,0,2,0.0115653756930391,1,33,"Not_Significant",0
