"","TCGA-A2-A0CQ-01A","TCGA-A2-A259-01A","TCGA-A7-A0CD-01A","TCGA-AN-A0FF-01A","TCGA-AR-A2LE-01A","TCGA-B6-A0IP-01A","TCGA-BH-A0B0-01A","TCGA-E2-A1IO-01A","TCGA-E9-A1R4-01A","TCGA-LD-A9QF-01A","TCGA-BH-A0BQ-11A","TCGA-BH-A0BS-11A","TCGA-BH-A0DO-11A","TCGA-BH-A0E0-11A","TCGA-BH-A0H9-11A","TCGA-BH-A1FH-11B","TCGA-E2-A1BC-11A","TCGA-E2-A1IG-11A","TCGA-E2-A1L7-11A","TCGA-E9-A1NA-11A","TCGA-E9-A1NG-11A"
"ENSG00000000003.15","3100","3529","5729","1690","6970","10270","5587","4487","711","1233","4158","6679","5384","3745","2746","3021","1741","2761","4209","3541","3418"
"ENSG00000000005.6","7","15","36","18","7","13","74","14","15","8","75","569","712","254","1184","343","391","658","71","1073","1291"
"ENSG00000000419.13","1569","1994","2029","1586","1015","1994","1602","1928","1943","1375","1456","2240","1500","1582","1047","1807","1089","1178","1611","1353","1554"
"ENSG00000000457.14","2404","1469","1590","1706","1769","2707","1995","1525","1285","858","1446","1980","1636","1003","335","619","486","611","1217","947","909"
"ENSG00000000460.17","410","646","763","583","394","1067","912","396","549","307","299","458","338","177","81","193","75","165","346","259","272"
"ENSG00000000938.13","720","838","183","413","163","381","589","427","713","3481","657","442","391","184","692","960","412","651","787","936","864"
"ENSG00000000971.16","658","6700","1481","3091","1979","2217","2420","5527","1816","5330","4463","1982","4017","1946","4576","9870","4432","5745","5013","7470","15769"
"ENSG00000001036.14","2775","3570","2174","1912","1697","2164","2169","1511","2037","1457","1597","1577","1569","1957","1726","2066","999","1205","1691","2097","2422"
"ENSG00000001084.13","1942","5960","5415","1542","2917","1610","750","1761","1798","1317","2028","2296","2299","1643","1768","1464","2404","2415","2067","2511","3004"
"ENSG00000001167.14","1540","3982","4704","2337","2153","4626","1543","2687","2527","1379","1811","2405","2179","1665","729","1462","633","1170","2148","1840","1651"
"ENSG00000001460.18","1084","466","1295","806","874","1019","623","846","655","288","857","909","786","559","439","550","351","502","720","579","586"
"ENSG00000001461.17","2891","5219","15355","1769","8567","5118","3203","3774","4809","995","2598","4527","5327","2769","752","2719","705","2563","2817","2877","1420"
"ENSG00000001497.18","4172","3639","6044","2933","2034","4360","2593","2369","2437","1747","2225","3569","2725","3171","1786","1590","1311","1756","2846","2694","1788"
"ENSG00000001561.7","1355","1048","11013","3751","8098","2671","1338","1836","1715","522","1089","1684","1619","509","1398","1348","1078","1467","1298","1528","2967"
"ENSG00000001617.12","6870","7130","16093","12368","4343","10683","6059","4245","5322","3236","2075","3471","2272","3323","3042","2466","1116","2090","5924","3902","1914"
"ENSG00000001626.16","15","92","2","0","3","52","4","13","7","14","142","78","68","44","3","45","9","45","127","93","32"
"ENSG00000001629.10","2337","5536","4416","3640","3094","6442","2579","6209","4236","2545","3920","3315","4019","1959","1430","2615","1647","3190","3279","4068","3949"
"ENSG00000001630.17","22","324","302","182","210","85","86","167","149","195","89","94","114","95","42","35","68","54","124","86","68"
"ENSG00000001631.16","580","388","322","395","245","504","251","316","207","230","261","429","409","238","170","262","218","224","378","285","270"
"ENSG00000002016.18","854","437","762","530","631","775","318","586","183","329","542","832","547","443","208","424","301","307","630","535","425"
"ENSG00000002079.14","16","1","3","22","8","9","12","1","14","4","11","7","21","8","2","9","0","5","10","4","1"
"ENSG00000002330.14","460","520","933","384","342","555","670","437","527","525","241","365","311","594","768","283","298","277","432","425","359"
"ENSG00000002549.12","3130","10400","7409","7489","4405","7305","8645","6585","10198","9956","4869","6178","5378","4968","5009","5149","3609","4504","8982","7760","6378"
