"","TCGA-3X-AAV9-01A","TCGA-4G-AAZT-01A","TCGA-W5-AA2G-01A","TCGA-W5-AA2O-01A","TCGA-W5-AA30-01A","TCGA-W5-AA33-01A","TCGA-W6-AA0S-01A","TCGA-ZH-A8Y2-01A","TCGA-ZH-A8Y6-01A","TCGA-ZU-A8S4-01A","TCGA-W5-AA2I-11A","TCGA-W5-AA2Q-11A","TCGA-W5-AA2R-11A","TCGA-W5-AA2U-11A","TCGA-W5-AA2X-11A","TCGA-W5-AA30-11A","TCGA-W5-AA31-11A","TCGA-W5-AA34-11A","TCGA-ZU-A8S4-11A"
"ENSG00000000003.15","3350","7504","1775","2868","5109","11312","3621","6768","573","1900","4679","1918","3529","2462","2322","3075","4394","4812","4088"
"ENSG00000000005.6","1","0","0","0","0","1","1","0","0","0","0","3","1","1","0","1","6","0","0"
"ENSG00000000419.13","1802","1120","1296","1488","1637","968","1484","1273","1309","1578","648","463","718","653","716","635","859","976","740"
"ENSG00000000457.14","517","300","556","823","2256","1296","452","774","1193","359","295","259","284","279","315","313","450","477","261"
"ENSG00000000460.17","218","71","176","301","914","349","160","365","227","360","35","59","57","28","73","81","108","62","143"
"ENSG00000000938.13","671","254","382","247","375","668","569","435","103","627","74","326","163","310","309","233","201","121","300"
"ENSG00000000971.16","7704","8234","15277","11587","3334","13718","1781","16473","2577","11661","50363","29662","61546","35848","46777","47944","67728","55284","79423"
"ENSG00000001036.14","1938","1810","2078","2930","2149","1977","2216","2709","9335","4315","1608","880","1070","1154","939","1333","1727","1623","1264"
"ENSG00000001084.13","1613","766","2208","1134","2812","2240","978","4325","2239","2420","3294","2007","10237","4138","3266","2403","6619","8051","3249"
"ENSG00000001167.14","1042","488","2004","562","1755","1511","773","2083","1022","901","297","276","461","481","509","396","568","551","324"
"ENSG00000001460.18","374","366","109","241","374","398","435","183","815","1115","61","67","68","72","95","96","74","82","53"
"ENSG00000001461.17","1140","617","491","829","1133","1555","1159","1154","4714","2608","175","188","165","162","190","198","202","328","186"
"ENSG00000001497.18","1703","2986","1877","2517","2168","1832","2340","2831","2368","2686","888","619","905","940","822","863","993","1244","836"
"ENSG00000001561.7","1128","401","1402","683","1468","1633","815","1794","2236","753","362","179","413","329","466","331","485","910","480"
"ENSG00000001617.12","1933","767","772","331","1495","577","391","404","6074","1106","240","287","184","197","303","359","346","222","277"
"ENSG00000001626.16","4717","10489","1647","6011","226","4620","20829","7560","54","9174","134","95","258","229","1873","345","325","196","288"
"ENSG00000001629.10","1796","549","2560","1938","2813","3087","2887","3393","3006","1975","571","416","560","453","616","583","787","910","567"
"ENSG00000001630.17","70","3","148","176","292","164","125","136","321","92","142","61","171","77","110","195","301","344","82"
"ENSG00000001631.16","241","208","194","331","346","342","245","331","440","185","142","81","100","128","145","129","113","174","108"
"ENSG00000002016.18","365","291","243","491","627","853","465","271","565","274","184","94","124","130","177","127","180","217","124"
"ENSG00000002079.14","75","11","19","16","13","12","45","20","4","131","3","0","0","1","2","2","1","2","0"
"ENSG00000002330.14","592","1618","353","1188","458","363","751","611","869","685","347","241","227","199","211","225","240","309","219"
"ENSG00000002549.12","3367","3060","4325","2538","4962","4164","4625","1541","5166","6323","3730","3446","5104","4090","3132","3603","5244","5037","4673"
"ENSG00000002586.20","11702","10220","8750","9224","5361","4967","5167","2813","6594","12601","5126","4575","3661","4219","4263","5704","5586","4119","5768"
"ENSG00000002586.20_PAR_Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000002587.10","874","821","457","263","2133","1644","1064","940","2814","1020","13","65","48","56","142","81","27","26","30"
"ENSG00000002726.21","1725","5","38","19","18","94","11","1623","12","27","568","643","520","10","220","378","595","8","9"
"ENSG00000002745.13","21","0","2","1","3","6","2","1","14","9","1","1","2","1","0","2","0","4","1"
"ENSG00000002746.15","99","5","4","1","54","40","15","9","2","14","6","5","8","5","4","22","17","10","1"
"ENSG00000002822.15","57","10","13","9","18","33","22","5","6","26","4","17","13","12","8","6","4","1","10"
"ENSG00000002834.18","10879","4018","17141","18858","11885","11232","15758","18157","13347","15778","3633","3200","5403","3393","3516","3682","4967","5525","2611"
