"","TCGA-3L-AA1B-01A","TCGA-A6-6653-01A","TCGA-AA-3530-01A","TCGA-AA-3556-01A","TCGA-AA-3858-01A","TCGA-AA-A00D-01A","TCGA-AY-A71X-01A","TCGA-AZ-6599-01A","TCGA-CM-6676-01A","TCGA-D5-6530-01A","TCGA-A6-2678-11A","TCGA-A6-2680-11A","TCGA-A6-5665-11A","TCGA-AA-3511-11A","TCGA-AA-3522-11A","TCGA-AA-3655-11A","TCGA-AA-3660-11A","TCGA-AA-3712-11A","TCGA-AZ-6599-11A","TCGA-AZ-6603-11A"
"ENSG00000000003.15","7257","2763","6355","3264","3351","3603","6045","4477","11754","2237","7858","3507","3674","5435","6295","7316","4705","4481","7803","3478"
"ENSG00000000005.6","23","5","23","21","12","6","51","18","389","1","60","22","41","19","77","30","34","24","15","32"
"ENSG00000000419.13","2058","767","1470","1473","1210","977","1752","925","4817","1179","1446","1672","996","1359","1836","1687","1333","1156","1170","1098"
"ENSG00000000457.14","734","259","380","423","351","251","836","554","634","492","977","742","670","879","1178","755","659","1012","632","504"
"ENSG00000000460.17","415","311","292","234","450","208","383","188","392","252","202","94","105","252","383","185","162","166","256","180"
"ENSG00000000938.13","247","197","68","121","147","344","50","33","134","550","299","227","171","371","281","233","296","359","246","683"
"ENSG00000000971.16","1548","628","305","540","344","680","226","149","670","566","3601","2282","1405","2835","2410","2821","2155","2749","4499","2972"
"ENSG00000001036.14","2785","2559","1952","1956","1680","2007","3015","2752","2526","1918","2951","2813","2307","2446","3415","2096","2099","2343","2350","1731"
"ENSG00000001084.13","2595","1232","1458","2043","742","947","2158","659","2021","1825","2288","2534","1685","1857","2911","1565","1246","1866","1536","1507"
"ENSG00000001167.14","1549","1913","740","1215","625","545","2368","1439","2048","1186","1510","871","1042","1450","1885","1015","838","1309","1363","947"
"ENSG00000001460.18","482","706","92","365","171","176","613","510","558","508","1238","1265","1056","754","1537","777","633","927","932","514"
"ENSG00000001461.17","1716","1566","528","1467","732","914","2387","1983","2211","2419","3875","4865","2579","3060","4954","2358","2228","2819","3078","2707"
"ENSG00000001497.18","4175","2013","1362","1005","1381","1324","2967","1811","4250","1757","1652","1364","895","1918","2167","1319","891","1165","1482","1470"
"ENSG00000001561.7","1295","1797","1060","897","290","180","1770","1698","1360","1071","2014","1696","1659","1595","2115","1878","1636","1800","1891","1274"
"ENSG00000001617.12","1056","933","541","491","778","1516","3025","6417","2807","3615","1135","1351","325","1464","1027","1361","853","1247","1519","1289"
"ENSG00000001626.16","19156","2024","7690","827","3522","1606","9909","4025","4296","1828","11728","3333","6374","11990","13644","9856","6750","10305","12397","3290"
"ENSG00000001629.10","3774","1724","1382","1536","798","988","3460","2443","3583","2441","2741","2832","1850","2458","3129","2136","1642","2400","2650","2076"
"ENSG00000001630.17","293","417","106","251","172","66","174","157","272","192","212","239","117","177","317","143","74","155","525","218"
"ENSG00000001631.16","425","107","157","135","136","165","453","261","388","221","248","239","136","214","313","202","154","209","230","207"
"ENSG00000002016.18","610","230","279","164","192","138","822","473","411","401","868","326","369","483","887","409","348","1095","796","398"
"ENSG00000002079.14","16","4","2","3","5","1","41","15","8","15","1","3","4","5","6","0","3","4","5","6"
"ENSG00000002330.14","298","460","285","360","651","343","379","342","375","409","729","692","441","601","880","1043","726","684","668","403"
"ENSG00000002549.12","4253","4866","1934","4299","1673","5584","3585","2641","4222","5841","4504","5349","2849","4424","6319","4199","3126","3243","4869","8044"
"ENSG00000002586.20","11744","11278","3508","3740","4682","9243","5675","8595","11149","7785","9972","11449","3898","10261","13024","13960","6856","8343","12910","9656"
"ENSG00000002586.20_PAR_Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000002587.10","735","715","283","478","305","212","1010","1015","532","703","470","325","367","463","754","402","459","316","325","207"
"ENSG00000002726.21","12761","5190","3206","7295","4957","3791","24146","25478","7370","4570","52434","109176","28396","38091","65058","28464","24059","38123","40395","11245"
"ENSG00000002745.13","47","0","3","1","0","2","3","3","5","0","6","18","10","12","9","22","7","11","11","37"
"ENSG00000002746.15","89","22","4","12","19","17","4","4","136","18","32","26","19","13","21","13","11","20","22","18"
"ENSG00000002822.15","22","9","5","1","6","7","13","29","17","18","16","9","11","33","24","12","10","20","16","21"
"ENSG00000002834.18","18469","22035","5027","14034","5613","5724","17056","11184","19772","15408","29685","51054","20729","19418","34798","15138","13593","19352","22252","14334"
"ENSG00000002919.15","830","769","431","1801","700","408","1223","689","1474","1062","1597","1211","1043","1402","2138","2232","1544","1484","938","1177"
"ENSG00000002933.9","12033","6685","4107","1026","8821","9468","2260","9433","2395","1446","10291","28873","5542","7608","14180","11223","7682","9615","13505","6577"
