"","TCGA-2H-A9GJ-01A","TCGA-IG-A5B8-01A","TCGA-JY-A6FB-01A","TCGA-KH-A6WC-01A","TCGA-L5-A4OG-01A","TCGA-L5-A4OH-01A","TCGA-L5-A4OM-01A","TCGA-L5-A88S-01A","TCGA-L5-A893-01A","TCGA-V5-A7RE-01A","TCGA-IC-A6RE-11A","TCGA-IC-A6RF-11A","TCGA-L5-A43C-11A","TCGA-L5-A4OF-11A","TCGA-L5-A4OG-11A","TCGA-L5-A4OJ-11A","TCGA-L5-A4OO-11A","TCGA-L5-A4OQ-11A","TCGA-L5-A4OR-11A","TCGA-V5-A7RE-11A","TCGA-V5-AASX-11A"
"ENSG00000000003.15","907","1950","940","6571","2135","6229","2159","1078","2883","3680","4473","4336","1220","1238","1754","2635","1024","1172","1808","1523","1794"
"ENSG00000000005.6","0","2","0","3","1","13","2","2","3","0","3","3","0","1","2","6","3","12","2","3","1"
"ENSG00000000419.13","3006","4254","2114","1783","6094","12243","2742","1794","2215","2821","742","1812","900","1065","1392","1452","1106","2095","1079","2085","1668"
"ENSG00000000457.14","1189","880","1222","1142","1142","1851","1909","538","1292","1156","732","667","479","695","1025","828","621","1330","533","1141","1707"
"ENSG00000000460.17","736","663","921","299","868","1619","1647","323","869","1248","183","137","70","317","199","225","109","269","73","469","392"
"ENSG00000000938.13","187","263","257","279","904","265","323","548","631","115","245","128","149","133","522","318","365","1591","136","503","90"
"ENSG00000000971.16","1014","1029","1182","2263","5260","1696","4274","9650","3116","313","865","1261","1484","2291","7614","2658","3405","104722","1071","828","937"
"ENSG00000001036.14","5605","3301","7883","773","8052","4474","2151","1990","4135","10862","485","1008","1223","1786","2085","1499","1129","2446","1370","5354","3525"
"ENSG00000001084.13","14927","1868","4935","4314","2982","11008","9737","1432","4461","3895","2322","9714","1599","2524","3437","2239","1747","2961","2044","3228","6428"
"ENSG00000001167.14","5690","1845","2041","1520","3435","4711","4649","2071","2185","3712","1060","1051","501","1679","1123","1240","1026","2234","786","2240","4128"
"ENSG00000001460.18","606","2400","592","775","830","1326","1398","398","1682","442","396","971","179","325","339","373","284","594","377","429","690"
"ENSG00000001461.17","5399","4098","2632","4213","5751","4565","4681","1822","4464","1885","2967","1841","1872","3057","3895","3641","2571","3700","2682","3135","5570"
"ENSG00000001497.18","1580","2078","1705","1620","2668","4391","4818","1420","2484","5708","1064","1860","949","1100","1433","1447","1410","2991","872","2034","2652"
"ENSG00000001561.7","7215","330","12260","202","1297","3724","753","776","2726","482","246","338","1339","3885","2662","4734","4692","6879","3355","1241","1737"
"ENSG00000001617.12","1527","10233","7462","27596","7200","1439","12375","4887","7988","6432","20424","11346","948","3388","2857","1942","1615","4487","1922","3723","10486"
"ENSG00000001626.16","36939","38","7542","252","14928","18719","70","4","1883","4600","193","240","55","257","56","76","37","133","24","6939","10270"
"ENSG00000001629.10","6807","3390","5913","4299","8671","14446","14544","2867","4523","5806","2000","2347","1679","2889","3573","3293","3120","5567","2011","3018","3374"
"ENSG00000001630.17","632","41","502","331","516","998","648","86","376","856","173","306","57","105","85","102","96","134","55","107","796"
"ENSG00000001631.16","445","224","477","397","741","1503","1589","305","446","457","176","245","227","254","505","470","372","711","268","326","324"
"ENSG00000002016.18","738","207","784","557","826","1315","1746","275","600","1059","253","289","288","514","649","796","483","1012","252","1424","1073"
"ENSG00000002079.14","40","97","90","15","172","99","111","16","46","55","14","33","6","40","22","20","14","10","13","294","28"
"ENSG00000002330.14","343","745","521","639","597","675","563","617","1016","720","433","420","320","335","448","534","355","687","443","699","689"
"ENSG00000002549.12","3015","3974","5310","5522","8045","15685","2399","4441","7603","7090","2201","2709","1454","2558","2900","2281","2216","8010","1891","8735","4729"
