"","TCGA-CQ-5325-01A","TCGA-CR-6487-01A","TCGA-CR-7372-01A","TCGA-CR-7391-01A","TCGA-CV-A6K0-01B","TCGA-D6-6516-01A","TCGA-D6-6827-01A","TCGA-MT-A51W-01A","TCGA-P3-A5QA-01A","TCGA-QK-AA3J-01A","TCGA-CV-6934-11A","TCGA-CV-6943-11A","TCGA-CV-6956-11A","TCGA-CV-6961-11A","TCGA-CV-7178-11A","TCGA-CV-7242-11A","TCGA-CV-7416-11A","TCGA-CV-7434-11A","TCGA-CV-7440-11A","TCGA-HD-A6HZ-11A"
"ENSG00000000003.15","220","1735","2160","2535","1491","1262","5433","947","2226","5752","12194","5510","1872","2343","4043","9911","1851","7187","11470","1572"
"ENSG00000000005.6","2","1","0","1","0","0","0","0","0","2","3","30","8","19","21","9","0","21","0","67"
"ENSG00000000419.13","902","1804","1934","1138","1711","2656","2240","2144","4285","2861","1826","1952","1295","1703","832","2392","2336","1929","2621","476"
"ENSG00000000457.14","247","922","331","527","603","500","2600","410","463","1738","812","591","329","379","673","704","328","977","722","121"
"ENSG00000000460.17","189","1139","291","298","356","407","3159","329","576","1052","212","225","169","154","122","371","242","134","332","38"
"ENSG00000000938.13","464","1080","291","1065","1014","260","402","162","93","283","283","260","218","135","566","988","264","459","199","101"
"ENSG00000000971.16","2812","3556","2018","6409","5478","2186","4090","2424","3168","4463","8772","1213","2295","1106","5147","6297","345","8562","10469","3931"
"ENSG00000001036.14","1048","2869","1393","1233","1748","1648","849","1501","4712","3116","2001","500","396","815","857","1048","731","1611","1715","532"
"ENSG00000001084.13","1742","5980","3415","1677","2560","1903","2253","2122","728","7254","10089","4057","1803","1254","1490","3527","3579","2540","17530","574"
"ENSG00000001167.14","740","2750","1557","1257","1294","1446","4712","926","1779","2181","1615","1123","1165","764","594","1460","872","916","1571","190"
"ENSG00000001460.18","360","864","664","530","536","786","1059","820","820","1790","2987","492","569","643","429","485","610","669","1091","247"
"ENSG00000001461.17","1152","3687","1400","2005","1890","1544","5030","1004","2659","6128","4175","2553","1115","1197","1898","3250","2136","6435","4716","923"
"ENSG00000001497.18","1050","3664","3676","1826","2209","6601","3126","2310","1571","3913","3118","2013","1613","2172","1972","3211","2823","2270","2779","1183"
"ENSG00000001561.7","313","517","67","225","243","50","352","53","136","172","5306","115","186","71","822","528","34","7831","2280","51"
"ENSG00000001617.12","1645","3514","6681","6672","4850","5787","2733","8145","1698","6591","15453","7895","5513","8312","2223","7648","8038","5801","8232","3758"
"ENSG00000001626.16","0","14","4","25","85","1","74","54","16","398","659","262","73","162","939","371","59","2476","773","137"
"ENSG00000001629.10","1422","4095","3386","2697","2687","2323","5306","7424","4098","5912","3202","2664","1365","1473","1562","2371","2025","4065","4227","212"
"ENSG00000001630.17","60","248","216","158","81","160","242","208","118","570","167","332","160","153","130","155","213","143","207","3"
"ENSG00000001631.16","93","282","200","154","285","223","611","351","297","1277","173","218","156","116","125","264","196","199","216","93"
"ENSG00000002016.18","105","627","302","167","388","130","644","261","329","374","246","237","183","123","206","177","140","244","212","103"
"ENSG00000002079.14","6","10","23","7","40","23","22","100","598","164","35","2","1","0","5","1","4","3","22","6"
"ENSG00000002330.14","296","384","562","317","351","447","760","456","666","794","1066","293","305","312","438","407","319","712","556","528"
"ENSG00000002549.12","13597","16084","3450","6680","7165","10680","6280","9088","4700","4036","8655","4309","2807","3215","2775","5963","3124","8787","5145","1109"
"ENSG00000002586.20","4486","10818","12483","9099","10800","5460","4679","6357","34988","18990","7386","8550","4995","5953","6188","12155","7510","9980","7029","8782"
"ENSG00000002586.20_PAR_Y","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000002587.10","259","474","288","624","485","450","1459","1500","143","1849","10254","2892","8399","4580","415","1623","5233","2591","6859","623"
"ENSG00000002726.21","151","163","542","1563","416","646","165","139","67","60","1928","196","129","69","236","1194","145","214","813","177"
"ENSG00000002745.13","10","10","80","37","34","1222","5","1","11","310","28","1","0","20","355","35","7","1","40","1"
"ENSG00000002746.15","52","38","93","115","174","32","14","48","281","38","16","19","32","78","53","8","11","4","15","20"
"ENSG00000002822.15","19","42","35","26","33","62","20","24","59","13","5","9","6","5","35","14","14","9","5","6"
"ENSG00000002834.18","8787","16074","10599","10365","11247","11599","8058","6606","14477","13383","17257","5551","4646","3300","4580","8395","5926","10265","14885","846"
"ENSG00000002919.15","1618","2041","1713","1781","1375","1965","2079","1348","1525","1601","1377","1899","1083","1333","1151","2276","1320","1554","1784","955"
"ENSG00000002933.9","1681","3262","808","2054","1532","906","1072","333","114","286","665","362","484","389","1134","867","108","1909","633","1009"
"ENSG00000003056.8","2191","7482","4593","3277","2832","5215","6724","2662","3290","3937","4227","2628","2162","2452","1992","3070","2638","5184","5148","90"
"ENSG00000003096.14","343","4451","703","598","432","1049","1713","187","230","2541","1167","422","217","318","321","792","339","748","620","123"
"ENSG00000003137.8","1095","241","4065","2103","460","1731","1155","1286","1902","149","281","907","370","590","520","403","2063","1172","2402","105"
"ENSG00000003147.19","84","162","95","257","248","41","1047","64","43","89","1134","560","285","187","1044","583","391","1511","1133","211"
"ENSG00000003249.15","85","1157","95","1859","655","516","421","828","67","220","1353","1755","822","1633","997","1861","2185","1760","887","913"
"ENSG00000003393.15","591","1504","1143","948","1218","871","2172","807","1543","2029","1928","945","629","960","626","1030","1037","1288","1724","155"
"ENSG00000003400.15","1496","2394","1003","1063","664","2424","801","986","323","2344","4395","904","611","464","260","1628","470","539","956","175"
"ENSG00000003402.20","3476","9424","4058","5464","4701","5682","5611","3643","3749","8381","9203","5849","5611","3480","3460","6255","6278","8179","10478","2165"
"ENSG00000003436.16","541","2972","704","1334","812","347","410","183","1496","1086","770","475","448","328","737","1012","227","2007","1285","679"
"ENSG00000003509.16","206","656","535","300","462","348","763","381","609","1151","380","436","393","257","393","576","449","569","580","220"
"ENSG00000003756.17","563","2040","1184","1493","3079","1784","3621","1462","2098","2511","1756","1760","1686","906","1153","2397","1497","1833","2141","1429"
"ENSG00000003987.14","20","24","17","28","54","34","211","27","40","33","63","31","19","29","48","44","35","88","54","7"
"ENSG00000003989.18","231","2587","443","625","391","88","5816","83","396","1784","6305","986","2799","315","1552","1597","310","1548","1288","453"
"ENSG00000004059.11","2822","4638","4392","5948","4406","7569","8102","4857","6233","4843","5400","6296","4138","8094","5629","6579","7545","4887","6243","3975"
"ENSG00000004139.14","43","193","75","111","116","55","437","23","213","105","273","116","46","72","226","89","57","473","118","56"
"ENSG00000004142.12","4134","7496","7778","6046","4517","7746","8288","5338","4355","9932","6021","6111","5724","6468","6238","7400","7025","7489","8006","2937"
"ENSG00000004399.13","2887","5851","5037","6589","4562","3319","3411","2003","3740","1356","739","765","953","1044","1013","1562","840","3608","811","1417"
"ENSG00000004455.17","4878","8110","4157","5363","5485","5070","8156","5446","7761","8688","5276","6552","6323","6194","4876","8292","7650","5483","7633","2957"
"ENSG00000004468.13","772","3817","1440","707","400","278","121","107","2143","3601","4866","183","196","170","70","546","185","506","159","62"
"ENSG00000004478.8","4690","17156","8795","6130","5349","7510","6110","8487","7961","5127","8794","8433","11245","7482","5542","11196","10220","6180","8705","2577"
"ENSG00000004487.17","2303","7372","4270","3131","3868","3813","12880","4431","6132","7110","6228","3492","3195","3652","4046","5257","5305","4459","7316","1499"
"ENSG00000004534.15","632","2865","1342","1463","3670","1481","5058","1632","2802","2787","2272","1953","1847","1065","1734","3345","2746","3246","2968","1890"
"ENSG00000004660.15","234","199","550","432","1020","779","239","440","739","1770","615","979","278","545","878","538","814","983","638","189"
"ENSG00000004700.16","777","2550","1892","1179","1431","987","1954","1047","2468","1443","797","987","438","553","432","815","738","882","1330","30"
"ENSG00000004766.17","631","1383","1015","1199","1210","1305","1693","2258","1066","4009","1068","1505","914","951","558","1428","896","867","1448","182"
"ENSG00000004776.13","1122","72","146","262","526","14","39","7","67","201","56","316","2616","670","90","90","280","714","1829","567"
"ENSG00000004777.18","48","1183","34","96","364","107","385","111","315","495","107","115","154","43","175","168","133","280","65","220"
"ENSG00000004779.10","1463","3110","1805","1414","1829","3341","2879","2240","2116","3410","2630","1979","2299","2193","2099","2901","2902","2393","3090","2105"
"ENSG00000004799.8","2839","291","347","414","438","20","610","55","410","129","2785","491","26745","290","4153","1346","726","2240","2257","3009"
"ENSG00000004809.14","5","347","6","5","3","19","13","2","0","4","92","0","0","0","9","10","0","11","885","0"
"ENSG00000004838.14","2","15","5","15","18","2","75","8","8","12","16312","16","8","12","30","15","9","288","414","8"
"ENSG00000004846.16","5","1","20","80","6","21","9","0","1","3","2","4","1","0","1","0","15","36","3","30"
"ENSG00000004848.8","23","7","12","9","29","1","1","0","13","9","83","8","40","10","1","2","2","2","31","1"
"ENSG00000004864.14","791","1985","1841","1428","1445","2159","3229","2958","2198","5529","1372","1619","1021","1670","911","2037","1808","1218","2389","284"
"ENSG00000004866.22","421","864","1359","722","710","1168","1417","491","1518","2936","1041","594","621","547","843","962","713","1406","1202","277"
"ENSG00000004897.12","2487","4616","4072","2847","3050","2693","3372","2514","5202","4076","2548","2657","1700","1933","1389","3345","2268","3211","4196","507"
"ENSG00000004939.15","0","6","1","0","0","2","2","1","2","10","2","0","4","0","8","4","3","2","0","80"
"ENSG00000004948.16","4","16","1","10","3","4","2","13","2","81","2","1","0","0","1","0","0","3","3","1"
"ENSG00000004961.15","1257","1729","4040","1383","1151","2404","1327","1740","1763","1734","2385","1352","1446","1445","1159","1842","1586","1797","2173","305"
"ENSG00000004975.12","607","2980","2691","1560","1607","1882","2267","1307","1640","4194","2813","1588","1306","1069","1456","1829","1346","2268","1965","634"
"ENSG00000005001.10","1101","554","1057","3369","1408","2068","458","4105","663","5434","6516","6265","8194","1399","793","6365","5862","2339","11423","947"
"ENSG00000005007.13","3457","15313","8074","6635","6010","9542","11561","5100","6348","19127","22042","5750","6566","3275","4379","7567","6942","7121","7908","2060"
"ENSG00000005020.13","1091","3480","2683","1075","1138","2515","857","827","984","1338","6118","616","251","281","571","2329","127","1151","2833","81"
"ENSG00000005022.6","8404","47777","20368","15963","10254","62699","22785","14583","7421","17163","18849","19274","15309","17501","24230","27382","23386","21956","28512","6697"
"ENSG00000005059.16","1403","821","910","1364","1900","2648","947","2575","1325","1967","788","920","1072","1097","530","1225","885","504","1174","365"
"ENSG00000005073.6","0","85","25","0","16","0","69","24","197","146","3","1","0","2","0","2","0","0","2","0"
"ENSG00000005075.15","567","1326","1056","1016","1095","1585","2762","3051","2095","3555","1789","1152","1451","1322","1575","1929","1579","1747","1754","1668"
"ENSG00000005100.13","719","2736","2627","995","1440","1121","2612","1175","1382","2392","1478","1089","771","1081","896","1863","1962","1518","2226","319"
"ENSG00000005102.14","220","251","450","831","368","296","307","121","386","360","42","164","148","361","307","253","178","548","179","174"
"ENSG00000005108.16","40","248","243","227","140","97","154","7","32","81","18","46","38","46","40","60","35","297","48","33"
"ENSG00000005156.12","599","2378","1987","1308","1384","1500","3050","898","1387","2396","2393","1525","1044","1171","1048","1676","1406","1298","1851","219"
"ENSG00000005175.10","564","2310","1247","1050","1358","1399","1756","1352","2042","2389","1790","1436","1099","952","610","1847","1360","1275","2276","267"
"ENSG00000005187.12","23","494","16","85","94","55","982","19","15","125","176","179","35","28","1698","143","77","441","106","63"
"ENSG00000005189.20","41","1217","96","89","186","185","629","170","124","477","793","174","92","74","201","205","209","150","295","172"
"ENSG00000005194.15","1581","2217","4016","2804","2361","5264","2662","2824","2593","3540","2211","3115","2083","3177","1862","3330","3026","2405","3370","991"
"ENSG00000005206.17","458","3362","1039","894","1372","1384","2115","990","1233","2351","2335","643","782","608","1140","1158","881","1854","1246","1206"
"ENSG00000005238.20","750","873","4275","2214","1950","5092","696","3032","1743","1227","2934","1986","1737","2443","754","2461","2368","1827","4394","932"
"ENSG00000005243.10","382","219","1914","914","885","1399","401","929","1308","2616","295","443","379","478","875","546","512","1317","884","984"
"ENSG00000005249.13","305","3566","299","570","307","151","659","70","100","1134","452","163","225","83","1091","207","57","4426","227","150"
"ENSG00000005302.19","929","2483","1999","1958","2031","1966","1913","1063","1766","2090","1431","1393","1247","1005","718","1857","1115","805","1442","632"
"ENSG00000005339.15","2854","9608","9849","6621","4536","10495","10718","3805","2820","11191","7611","4927","4237","2960","3378","6111","4557","6668","7296","941"
