"","condition"
"TCGA-A2-A0CQ-01A","PrimaryTumor"
"TCGA-A2-A259-01A","PrimaryTumor"
"TCGA-A7-A0CD-01A","PrimaryTumor"
"TCGA-AN-A0FF-01A","PrimaryTumor"
"TCGA-AR-A2LE-01A","PrimaryTumor"
"TCGA-B6-A0IP-01A","PrimaryTumor"
"TCGA-BH-A0B0-01A","PrimaryTumor"
"TCGA-E2-A1IO-01A","PrimaryTumor"
"TCGA-E9-A1R4-01A","PrimaryTumor"
"TCGA-LD-A9QF-01A","PrimaryTumor"
"TCGA-BH-A0BQ-11A","SolidTissueNormal"
"TCGA-BH-A0BS-11A","SolidTissueNormal"
"TCGA-BH-A0DO-11A","SolidTissueNormal"
"TCGA-BH-A0E0-11A","SolidTissueNormal"
"TCGA-BH-A0H9-11A","SolidTissueNormal"
"TCGA-BH-A1FH-11B","SolidTissueNormal"
"TCGA-E2-A1BC-11A","SolidTissueNormal"
"TCGA-E2-A1IG-11A","SolidTissueNormal"
"TCGA-E2-A1L7-11A","SolidTissueNormal"
"TCGA-E9-A1NA-11A","SolidTissueNormal"
"TCGA-E9-A1NG-11A","SolidTissueNormal"
