"","condition"
"TCGA-3X-AAV9-01A","PrimaryTumor"
"TCGA-4G-AAZT-01A","PrimaryTumor"
"TCGA-W5-AA2G-01A","PrimaryTumor"
"TCGA-W5-AA2O-01A","PrimaryTumor"
"TCGA-W5-AA30-01A","PrimaryTumor"
"TCGA-W5-AA33-01A","PrimaryTumor"
"TCGA-W6-AA0S-01A","PrimaryTumor"
"TCGA-ZH-A8Y2-01A","PrimaryTumor"
"TCGA-ZH-A8Y6-01A","PrimaryTumor"
"TCGA-ZU-A8S4-01A","PrimaryTumor"
"TCGA-W5-AA2I-11A","SolidTissueNormal"
"TCGA-W5-AA2Q-11A","SolidTissueNormal"
"TCGA-W5-AA2R-11A","SolidTissueNormal"
"TCGA-W5-AA2U-11A","SolidTissueNormal"
"TCGA-W5-AA2X-11A","SolidTissueNormal"
"TCGA-W5-AA30-11A","SolidTissueNormal"
"TCGA-W5-AA31-11A","SolidTissueNormal"
"TCGA-W5-AA34-11A","SolidTissueNormal"
"TCGA-ZU-A8S4-11A","SolidTissueNormal"
