"","condition"
"TCGA-3L-AA1B-01A","PrimaryTumor"
"TCGA-A6-6653-01A","PrimaryTumor"
"TCGA-AA-3530-01A","PrimaryTumor"
"TCGA-AA-3556-01A","PrimaryTumor"
"TCGA-AA-3858-01A","PrimaryTumor"
"TCGA-AA-A00D-01A","PrimaryTumor"
"TCGA-AY-A71X-01A","PrimaryTumor"
"TCGA-AZ-6599-01A","PrimaryTumor"
"TCGA-CM-6676-01A","PrimaryTumor"
"TCGA-D5-6530-01A","PrimaryTumor"
"TCGA-A6-2678-11A","SolidTissueNormal"
"TCGA-A6-2680-11A","SolidTissueNormal"
"TCGA-A6-5665-11A","SolidTissueNormal"
"TCGA-AA-3511-11A","SolidTissueNormal"
"TCGA-AA-3522-11A","SolidTissueNormal"
"TCGA-AA-3655-11A","SolidTissueNormal"
"TCGA-AA-3660-11A","SolidTissueNormal"
"TCGA-AA-3712-11A","SolidTissueNormal"
"TCGA-AZ-6599-11A","SolidTissueNormal"
"TCGA-AZ-6603-11A","SolidTissueNormal"
