"","condition"
"TCGA-CQ-5325-01A","PrimaryTumor"
"TCGA-CR-6487-01A","PrimaryTumor"
"TCGA-CR-7372-01A","PrimaryTumor"
"TCGA-CR-7391-01A","PrimaryTumor"
"TCGA-CV-A6K0-01B","PrimaryTumor"
"TCGA-D6-6516-01A","PrimaryTumor"
"TCGA-D6-6827-01A","PrimaryTumor"
"TCGA-MT-A51W-01A","PrimaryTumor"
"TCGA-P3-A5QA-01A","PrimaryTumor"
"TCGA-QK-AA3J-01A","PrimaryTumor"
"TCGA-CV-6934-11A","SolidTissueNormal"
"TCGA-CV-6943-11A","SolidTissueNormal"
"TCGA-CV-6956-11A","SolidTissueNormal"
"TCGA-CV-6961-11A","SolidTissueNormal"
"TCGA-CV-7178-11A","SolidTissueNormal"
"TCGA-CV-7242-11A","SolidTissueNormal"
"TCGA-CV-7416-11A","SolidTissueNormal"
"TCGA-CV-7434-11A","SolidTissueNormal"
"TCGA-CV-7440-11A","SolidTissueNormal"
"TCGA-HD-A6HZ-11A","SolidTissueNormal"
