"BRCA","CHOL","COAD","ESCA","HNSC"
"ENSG00000170367.5","ENSG00000173826.15","ENSG00000223812.8","ENSG00000198681.7","ENSG00000147381.11"
"ENSG00000166961.15","ENSG00000169067.4","ENSG00000224099.2","ENSG00000197172.10","ENSG00000251144.1"
"ENSG00000166509.12","ENSG00000167080.9","ENSG00000185269.12","ENSG00000143556.9","ENSG00000170178.7"
"ENSG00000235123.5","ENSG00000186007.10","ENSG00000137673.9","ENSG00000221867.9","ENSG00000128713.14"
"ENSG00000101441.4","ENSG00000174502.19","ENSG00000260573.4","ENSG00000287394.1","ENSG00000260597.1"
"ENSG00000263639.7","ENSG00000170231.16","ENSG00000230316.7","ENSG00000184330.12","ENSG00000233085.5"
"ENSG00000197153.5","ENSG00000074317.11","ENSG00000104371.5","ENSG00000124260.12","ENSG00000273706.5"
"ENSG00000258387.1","ENSG00000233532.6","ENSG00000134827.8","ENSG00000268916.6","ENSG00000138675.16"
"ENSG00000265766.3","ENSG00000132429.10","ENSG00000233532.6","ENSG00000180318.4","ENSG00000106031.9"
"ENSG00000228607.2","ENSG00000129991.13","ENSG00000128610.12","ENSG00000275216.2","ENSG00000237445.2"
"ENSG00000223808.1","ENSG00000231290.6","ENSG00000167755.15","ENSG00000286058.1","ENSG00000250564.2"
"ENSG00000170373.8","ENSG00000187908.20","ENSG00000139800.8","ENSG00000036828.17","ENSG00000196611.5"
"ENSG00000123500.10","ENSG00000123999.5","ENSG00000214039.9","ENSG00000123407.4","ENSG00000269927.1"
"ENSG00000198251.7","ENSG00000276740.1","ENSG00000283689.1","ENSG00000185247.15","ENSG00000116996.9"
"ENSG00000141668.10","ENSG00000137868.19","ENSG00000159263.16","ENSG00000286966.1","ENSG00000203756.8"
"ENSG00000269353.1","ENSG00000234602.9","ENSG00000169035.12","ENSG00000231240.1","ENSG00000259672.3"
"ENSG00000287301.1","ENSG00000107984.10","ENSG00000249162.1","ENSG00000286051.1","ENSG00000224999.1"
"ENSG00000287747.1","ENSG00000168959.14","ENSG00000249306.6","ENSG00000198443.6","ENSG00000244128.7"
"ENSG00000256612.7","ENSG00000230156.3","ENSG00000198842.10","ENSG00000149968.12","ENSG00000164400.6"
"ENSG00000137745.12","ENSG00000268104.3","ENSG00000100557.10","ENSG00000122859.5","ENSG00000228742.11"
"ENSG00000203740.4","ENSG00000197587.11","ENSG00000129455.15","ENSG00000287407.1","ENSG00000277128.2"
"ENSG00000225972.1","ENSG00000102837.7","ENSG00000251095.7","ENSG00000164400.6","ENSG00000177234.7"
"ENSG00000258894.1","ENSG00000142698.15","ENSG00000170373.8","ENSG00000257636.6","ENSG00000204539.4"
"ENSG00000260963.2","ENSG00000185479.6","ENSG00000256916.1","ENSG00000164283.13","ENSG00000203740.4"
"ENSG00000177234.7","ENSG00000198768.11","ENSG00000108244.17","ENSG00000259977.1","ENSG00000288062.1"
"ENSG00000268088.1","ENSG00000145681.11","ENSG00000251026.2","ENSG00000029559.7","ENSG00000234041.1"
"ENSG00000273301.1","ENSG00000170373.8","ENSG00000253339.2","ENSG00000111981.5","ENSG00000277268.2"
"ENSG00000170369.4","ENSG00000243479.3","ENSG00000224269.1","ENSG00000180178.11","ENSG00000287944.1"
"ENSG00000164287.13","ENSG00000170689.10","ENSG00000078579.9","ENSG00000111700.13","ENSG00000267123.7"
"ENSG00000233080.3","ENSG00000153294.12","ENSG00000198930.13","ENSG00000262406.3","ENSG00000242207.1"
"ENSG00000099953.10","ENSG00000242515.5","ENSG00000240972.2","ENSG00000137251.16","ENSG00000115414.21"
"ENSG00000203805.11","ENSG00000205922.5","ENSG00000180305.5","ENSG00000228626.1","ENSG00000137745.12"
"ENSG00000249001.5","ENSG00000106038.13","ENSG00000174015.10","ENSG00000183091.19","ENSG00000258654.1"
"ENSG00000138696.11","ENSG00000225298.5","ENSG00000268621.6","ENSG00000099953.10","ENSG00000139800.8"
"ENSG00000147434.9","ENSG00000255345.1","ENSG00000170454.6","ENSG00000174015.10","ENSG00000255535.2"
"ENSG00000277619.1","ENSG00000205086.8","ENSG00000249550.7","ENSG00000171711.3","ENSG00000149968.12"
"ENSG00000237423.3","ENSG00000167653.5","ENSG00000234929.2","ENSG00000011677.13","ENSG00000159217.10"
"ENSG00000230838.1","ENSG00000164287.13","ENSG00000228742.11","ENSG00000171786.6","ENSG00000230838.1"
"ENSG00000249599.2","ENSG00000105388.16","ENSG00000224173.2","ENSG00000228742.11","ENSG00000168505.7"
"ENSG00000216331.2","ENSG00000124102.5","ENSG00000100665.12","ENSG00000277129.1","ENSG00000250133.2"
"ENSG00000029559.7","ENSG00000159337.7","ENSG00000135374.11","ENSG00000233532.6","ENSG00000236651.1"
"ENSG00000197079.8","ENSG00000171431.4","ENSG00000167767.14","ENSG00000198930.13","ENSG00000123500.10"
"ENSG00000241361.8","ENSG00000183072.10","ENSG00000140835.10","ENSG00000204936.10","ENSG00000123407.4"
"ENSG00000211452.11","ENSG00000029559.7","ENSG00000168875.3","ENSG00000162344.4","ENSG00000133063.16"
"ENSG00000100867.15","ENSG00000153930.12","ENSG00000213981.8","ENSG00000122861.16","ENSG00000230988.3"
