"EnsemblID","GeneSymbol","Total_DEG","Total_Up","Total_Dn","RRA_Score_pvalue","padj","Rank","Category","log_p"
"ENSG00000029559.7","IBSP",5,5,0,2.82604175992297e-08,0.00023077457011531,1,"Significant_Hub",3.63681204935975
"ENSG00000123500.10","COL10A1",5,5,0,2.36980866504868e-07,0.000967592877939374,2,"Significant_Hub",3.01430733696478
"ENSG00000099953.10","MMP11",5,5,0,1.09104109629142e-06,0.00293708234849752,3,"Significant_Hub",2.53208387676739
"ENSG00000233532.6","LINC00460",5,5,0,1.49025979678922e-06,0.00293708234849752,4,"Significant_Hub",2.53208387676739
"ENSG00000170373.8","CST1",3,3,0,1.79836048769136e-06,0.00293708234849752,5,"Significant_Low_Freq",2.53208387676739
"ENSG00000122133.17","PAEP",4,4,0,3.27878083679268e-06,0.00446242071887484,6,"Significant_Hub",2.35042948665813
"ENSG00000228742.11","LINC02577",3,3,0,5.40778313214036e-06,0.00630856529386546,7,"Significant_Low_Freq",2.20006939761856
"ENSG00000286042.1","LCAL1",4,4,0,8.81919000099462e-06,0.00900218819351526,8,"Significant_Hub",2.04565191224281
"ENSG00000196611.5","MMP1",5,5,0,3.81083799346152e-05,0.0345770033940075,9,"Significant_Hub",1.46121264743684
"ENSG00000101441.4","CST4",5,4,1,4.59818232868752e-05,0.0370199215745403,10,"Significant_Hub",1.4315645056204
"ENSG00000249550.7","LINC01234",3,3,0,4.9867638662741e-05,0.0370199215745403,11,"Significant_Low_Freq",1.4315645056204
"ENSG00000105048.17","TNNT1",4,4,0,8.14745707160902e-05,0.0554434453722994,12,"Not_Significant",1.25614978958519
"ENSG00000104899.8","AMH",5,5,0,0.000100519677770256,0.0631418222055318,13,"Not_Significant",1.19968288898818
"ENSG00000129991.13","TNNI3",4,4,0,0.000151370354023289,0.0882921650681555,14,"Not_Significant",1.05407783343982
"ENSG00000272620.2","AFAP1-AS1",3,3,0,0.000175245259147056,0.0922495460538469,15,"Not_Significant",1.03503576226152
"ENSG00000166670.10","MMP10",5,5,0,0.000180748559498108,0.0922495460538469,16,"Not_Significant",1.03503576226152
"ENSG00000117122.14","MFAP2",5,5,0,0.000272173735915257,0.130739454557882,17,"Not_Significant",0.883593331233313
"ENSG00000107159.13","CA9",3,3,0,0.000295486549579353,0.1340523979925,18,"Not_Significant",0.872725412747156
"ENSG00000165891.16","E2F7",5,5,0,0.000324471623035991,0.139063961382876,19,"Not_Significant",0.85678540344012
"ENSG00000095752.7","IL11",5,5,0,0.000355784737921297,0.139063961382876,20,"Not_Significant",0.85678540344012
"ENSG00000164400.6","CSF2",3,3,0,0.000360956589718522,0.139063961382876,21,"Not_Significant",0.85678540344012
"ENSG00000203740.4","METTL11B",2,2,0,0.000429357510152168,0.139063961382876,22,"Not_Significant",0.85678540344012
"ENSG00000281406.2","BLACAT1",3,3,0,0.000452588862850994,0.139063961382876,23,"Not_Significant",0.85678540344012
"ENSG00000101057.16","MYBL2",5,5,0,0.000460325617772454,0.139063961382876,24,"Not_Significant",0.85678540344012
"ENSG00000262406.3","MMP12",5,5,0,0.000460325617772454,0.139063961382876,25,"Not_Significant",0.85678540344012
"ENSG00000154920.15","EME1",5,5,0,0.000460325617772454,0.139063961382876,26,"Not_Significant",0.85678540344012
"ENSG00000177234.7","LINC01561",2,2,0,0.000465768454711186,0.139063961382876,27,"Not_Significant",0.85678540344012
"ENSG00000186185.14","KIF18B",5,5,0,0.000476829649610647,0.139063961382876,28,"Not_Significant",0.85678540344012
"ENSG00000108813.11","DLX4",4,4,0,0.000518907742151495,0.139752496568773,29,"Not_Significant",0.854640425041845
"ENSG00000261327.5","AC134312.5",3,3,0,0.000526532589778286,0.139752496568773,30,"Not_Significant",0.854640425041845
"ENSG00000204936.10","CD177",4,4,0,0.000537445237108932,0.139752496568773,31,"Not_Significant",0.854640425041845
"ENSG00000148848.14","ADAM12",5,5,0,0.000547646325030706,0.139752496568773,32,"Not_Significant",0.854640425041845
"ENSG00000164932.13","CTHRC1",4,4,0,0.00056812184483913,0.140584332877465,33,"Not_Significant",0.852063075646117
"ENSG00000100985.7","MMP9",3,3,0,0.000697411447324823,0.167501819966309,34,"Not_Significant",0.77598046983889
"ENSG00000101412.13","E2F1",5,5,0,0.000719646641231389,0.167903842065586,35,"Not_Significant",0.774939365989453
"ENSG00000137745.12","MMP13",3,3,0,0.000761805572328364,0.168766305580572,36,"Not_Significant",0.772714256532108
"ENSG00000113739.10","STC2",5,5,0,0.000764677113211017,0.168766305580572,37,"Not_Significant",0.772714256532108
"ENSG00000094804.12","CDC6",5,5,0,0.000809091145015916,0.173869428689473,38,"Not_Significant",0.75977677290606
