"EnsemblID","GeneSymbol","Class","Chromosome","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000223812.8","AC073365.1"," lncRNA","chr3",3.79301432250928,9.95121138717355,3.26618769251629,0.000383215214802533,0.00209720233220913
"ENSG00000224099.2","AC104823.1"," lncRNA","chr2",388.729394901853,9.91276359120641,1.18593832304799,1.25359348219907e-18,1.72411598496684e-16
"ENSG00000185269.12","NOTUM"," protein_coding","chr17",1910.23733121999,9.15141485629547,0.855111827189666,3.42434883181443e-28,2.4699447640674e-25
"ENSG00000137673.9","MMP7"," protein_coding","chr11",523.093212178442,9.04549600288436,0.585448886896707,3.57257424070387e-32,3.41054749131666e-29
"ENSG00000260573.4","AC007493.1"," lncRNA","chr16",214.054822741791,9.04468793792029,1.04857219431622,3.57640332170842e-19,5.3992046053959e-17
"ENSG00000230316.7","FEZF1-AS1"," lncRNA","chr7",125.987730650965,8.94695798700374,0.973625426647332,6.57054553695734e-22,1.65323075223691e-19
"ENSG00000104371.5","DKK4"," protein_coding","chr8",352.783648384071,8.9181644453071,1.35925775207032,1.5222541939621e-12,6.81507953484439e-11
"ENSG00000134827.8","TCN1"," protein_coding","chr11",2416.61725575668,8.87530181253941,0.902319094652324,3.36579390511831e-24,1.24144248377648e-21
"ENSG00000233532.6","LINC00460"," lncRNA","chr13",26.4439097218934,8.74326631765658,1.47266446073334,2.52935638159502e-17,2.80197438340653e-15
"ENSG00000128610.12","FEZF1"," protein_coding","chr7",46.9108317703541,8.69317270421662,1.26514656381539,4.00841041732475e-17,4.33683284418422e-15
"ENSG00000167755.15","KLK6"," protein_coding","chr19",245.047031776076,8.5718773689122,0.816487215740426,2.93960225788329e-27,1.70381446582814e-24
"ENSG00000139800.8","ZIC5"," protein_coding","chr13",12.2075014000972,8.36821817233906,1.45988226165945,1.79472380546367e-06,1.95395763088101e-05
"ENSG00000214039.9","LINC02418"," lncRNA","chr12",326.865367405311,8.20598228255883,0.982156252087832,2.29789975227493e-18,3.04429510854447e-16
"ENSG00000283689.1","AC018553.2"," lncRNA","chr16",5.18326894160026,8.02863437212125,2.94036546594295,3.97152999688633e-06,3.92892168969633e-05
"ENSG00000159263.16","SIM2"," protein_coding","chr21",175.067410334444,7.97906109978539,0.594025961147487,1.80732954574876e-42,4.51248479968565e-39
"ENSG00000169035.12","KLK7"," protein_coding","chr19",131.809167670385,7.96953213928019,0.864198532620887,2.31517837000795e-21,5.21847635650819e-19
"ENSG00000249162.1","ADAM20P3"," processed_pseudogene","chr4",4.83856650019298,7.96179608389359,2.87422577335641,1.26888480724489e-06,1.44510396749314e-05
"ENSG00000249306.6","LINC01411"," lncRNA","chr5",41.9434596374811,7.89046240558477,0.879354230751082,2.32559947132087e-13,1.20774892224212e-11
"ENSG00000198842.10","STYXL2"," protein_coding","chr1",1614.18284094905,7.8865233492753,0.932669100802556,1.19055985025918e-18,1.64439113275372e-16
"ENSG00000100557.10","CCDC198"," protein_coding","chr14",17.6365991568533,7.83221545474521,2.03948355391228,1.8133063292656e-06,1.97041502629069e-05
"ENSG00000129455.15","KLK8"," protein_coding","chr19",26.3208685369083,7.78601414155214,1.25289767083053,1.3590694401023e-14,9.00258691568172e-13
"ENSG00000251095.7","AC093866.1"," lncRNA","chr4",205.014744224607,7.52486341382587,1.32598422129632,4.89756864552993e-10,1.30835623947828e-08
"ENSG00000170373.8","CST1"," protein_coding","chr20",406.421842858456,7.48062394878502,0.850404662654491,4.49332927407017e-20,7.92633052053095e-18
"ENSG00000256916.1","AP000851.1"," lncRNA","chr11",3.69031498315736,7.37863124190201,2.87027281400217,1.5395155655598e-05,0.000130061416519886
"ENSG00000108244.17","KRT23"," protein_coding","chr17",1147.44998489646,7.26690711726755,0.735473726488405,2.17733273849937e-24,8.31433717955442e-22
"ENSG00000251026.2","LINC02163"," lncRNA","chr5",23.3246230848688,7.25163721390695,1.06210702151637,5.65149958726411e-15,3.99643515475858e-13
"ENSG00000253339.2","AC111149.2"," lncRNA","chr8",2.9355605278214,7.23550677167942,2.62488609221161,3.3534239642533e-08,5.81128857617372e-07
"ENSG00000224269.1","AP000697.1"," lncRNA","chr21",2.86841589304982,7.18383458606457,2.65106665035464,1.87285849847962e-07,2.66152544411785e-06
"ENSG00000078579.9","FGF20"," protein_coding","chr8",9.32426834902717,7.17825065756052,0.981658143917614,5.2272702029991e-07,6.55843588128894e-06
"ENSG00000198930.13","CSAG1"," protein_coding","chrX",17.7229555274421,7.09154701048489,2.36655154648518,0.000972663565539464,0.00466639964102975
"ENSG00000240972.2","MIF"," protein_coding","chr22",8.58326306816322,6.89575467633385,1.69526501987343,1.28506285388622e-07,1.91860948074696e-06
"ENSG00000180305.5","WFDC10A"," protein_coding","chr20",2.50198841768444,6.8871845064351,2.63286380055793,8.76782006291327e-07,1.04358600514132e-05
"ENSG00000174015.10","CBY2"," protein_coding","chr13",13.5948388046126,6.83387185073422,1.2325127597671,4.63460845263042e-12,1.88037651444348e-10
"ENSG00000268621.6","IGFL2-AS1"," lncRNA","chr19",6.21060923916596,6.80170868750648,1.23756800849104,0.000961798979380032,0.00462662090504342
"ENSG00000170454.6","KRT75"," protein_coding","chr12",19.9765597268251,6.79851553963083,1.08850065502458,1.69295377479295e-13,9.05270076148758e-12
"ENSG00000249550.7","LINC01234"," lncRNA","chr12",78.0503799492526,6.75817849548826,1.0304320191656,2.55484455756286e-12,1.0889008151296e-10
"ENSG00000234929.2","AC018685.2"," lncRNA","chr2",8.24737882401566,6.72729895278793,1.75368742499863,6.06058810560509e-07,7.51967005855237e-06
"ENSG00000228742.11","LINC02577"," lncRNA","chr7",27.9600596099534,6.71150954946617,0.910159306907285,3.9569727352096e-15,2.89921943655605e-13
"ENSG00000224173.2","LINC02831"," lncRNA","chr2",2.61925847177716,6.70225815787093,2.87928340551587,0.000164164603375008,0.0010168806672416
