"EnsemblID","GeneSymbol","Class","Chromosome","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000186009.5","ATP4B"," protein_coding","chr13",66717.9574022629,-15.0223901828867,1.38078597152548,4.18000848216133e-29,5.22487126908559e-25
"ENSG00000230572.5","AC027612.2"," transcribed_unprocessed_pseudogene","chr2",93.436690564634,-9.56837831916225,1.52518697312388,9.55253007234757e-14,1.54285718516972e-10
"ENSG00000153446.16","C16orf89"," protein_coding","chr16",2646.24877912985,-7.33631987143795,0.84042262694116,7.68376199185426e-20,4.80222318220905e-16
"ENSG00000187957.8","DNER"," protein_coding","chr2",1862.22030832722,-6.86726951368221,0.843173123044614,1.16241593487398e-17,4.84327057131547e-14
"ENSG00000220113.2","MTCYBP4"," processed_pseudogene","chr6",26.7782649055237,-6.73568643798508,1.23763919065406,3.79823000035368e-10,1.89906435711017e-07
"ENSG00000152578.13","GRIA4"," protein_coding","chr11",478.021254274123,-6.21404874050193,0.859765854467358,1.63676782210789e-14,3.61042097418964e-11
"ENSG00000182836.10","PLCXD3"," protein_coding","chr5",1143.69960470892,-6.11285196747202,0.948482758756788,3.3507725646073e-12,3.59001772572026e-09
"ENSG00000157005.4","SST"," protein_coding","chr3",1186.77638756289,-6.05316459075526,1.46576136099418,6.88529548331544e-07,7.99355093897355e-05
"ENSG00000259702.3","AC024337.1"," lncRNA","chr15",23.3540369480904,-6.00603349695774,1.11396465079271,3.51292196485042e-09,1.26664481499929e-06
"ENSG00000237361.3","TUSC8"," lncRNA","chr13",84.1487543530703,-5.89691660073128,0.910933520283282,3.62535798430395e-12,3.69964573702526e-09
"ENSG00000147606.9","SLC26A7"," protein_coding","chr8",906.92085374848,-5.8377630139774,1.00746918851503,1.91041104938758e-10,1.00899301325331e-07
"ENSG00000140465.14","CYP1A1"," protein_coding","chr15",53.8048268317393,-5.69456515071292,0.997235820850127,0.000665009799796089,0.011294087906126
"ENSG00000214510.10","SPINK13"," protein_coding","chr5",26.7176105537278,-5.66673114809365,0.88471269276534,5.18146064295289e-12,4.69963905389525e-09
"ENSG00000111249.14","CUX2"," protein_coding","chr12",442.133010295408,-5.57014992292198,0.909767599868972,2.91328124547007e-11,1.95080595399789e-08
"ENSG00000145242.13","EPHA5"," protein_coding","chr4",118.254418513701,-5.31751057406237,1.15817022214893,1.01332196667619e-07,1.85282181270371e-05
"ENSG00000267132.1","HMGB3P27"," processed_pseudogene","chr17",23.4910715527214,-5.24266341594383,1.13339422087585,1.02277135574121e-07,1.85282181270371e-05
"ENSG00000184608.9","FAM167A-AS1"," lncRNA","chr8",26.9618589566379,-5.19180300061482,1.00484627685999,7.12691319227113e-09,2.22710098164146e-06
"ENSG00000110975.8","SYT10"," protein_coding","chr12",15.1263770576981,-5.17922190730989,0.974856797185577,2.89046642416748e-09,1.07316436079066e-06
"ENSG00000253105.6","AP003548.1"," lncRNA","chr8",17.6734344821391,-5.09101769695377,0.934293158169424,2.30361311729188e-09,8.81461104952328e-07
"ENSG00000174514.13","MFSD4A"," protein_coding","chr1",15637.438816865,-5.04635121993238,0.921816207094355,1.25135326683598e-09,5.27241529809916e-07
"ENSG00000132855.5","ANGPTL3"," protein_coding","chr1",339.325496357681,-5.0080117195052,0.806688167463518,1.73446331572193e-11,1.25078153608186e-08
"ENSG00000177133.11","PRDM16-DT"," lncRNA","chr1",4255.05701978342,-4.92257851384731,1.00702884114228,2.71955120807428e-08,6.5793839194566e-06
"ENSG00000214708.4","AC116407.1"," lncRNA","chr17",286.151123993919,-4.84393405911515,0.817189615778482,9.82534203459742e-11,5.5824318326571e-08
"ENSG00000157315.5","TMED6"," protein_coding","chr16",488.466561988025,-4.77744295363157,0.710272389387527,5.87457155619455e-13,7.1061470576045e-10
"ENSG00000105707.14","HPN"," protein_coding","chr19",1126.76593701625,-4.72506886738211,1.05621532675669,1.97281839813043e-07,3.14803051538267e-05
"ENSG00000239571.1","IGKV2D-30"," IG_V_gene","chr2",53.6038319896389,-4.69769275470297,1.17944458119794,1.7890747479159e-06,0.000160109241215203
"ENSG00000269933.1","AL031429.2"," lncRNA","chr1",39.7890961801608,-4.68075785601491,1.23054771990426,2.78147502492638e-06,0.000222393458336278
"ENSG00000145920.15","CPLX2"," protein_coding","chr5",129.187374579806,-4.60342054650955,0.627268449458411,6.29245107631457e-15,1.474753893192e-11
"ENSG00000139219.19","COL2A1"," protein_coding","chr12",2643.8728957926,-4.58428084058711,1.29889385184096,8.45672715933309e-06,0.000497831729588433
"ENSG00000259359.2","AC012409.1"," lncRNA","chr15",22.3493328784952,-4.53694677841426,0.889948478131559,7.31997624003178e-09,2.2685271820244e-06
"ENSG00000257126.6","FOXG1-AS1"," lncRNA","chr14",48.3202087680929,-4.46564759567458,1.28601722441492,1.07197087441716e-05,0.000594819021571632
"ENSG00000283526.1","PRRT1B"," protein_coding","chr9",206.514437608418,-4.44063159153506,0.730059609881943,4.0678932111964e-11,2.63003323321817e-08
"ENSG00000259763.2","LINC02157"," lncRNA","chr15",10.4845728544777,-4.43522167175391,0.862230497788489,1.19434682790881e-08,3.41884058776738e-06
"ENSG00000140798.16","ABCC12"," protein_coding","chr16",25.0803951228441,-4.37321260401149,0.933613570869886,1.0041563660195e-07,1.84582644947869e-05
"ENSG00000184811.4","TRARG1"," protein_coding","chr17",15.183305553275,-4.35768376504687,0.90616964424353,5.99850450536019e-08,1.20376148525041e-05
"ENSG00000130037.5","KCNA5"," protein_coding","chr12",96.4497652677812,-4.31741678240597,0.783759158079091,0.000416299971110891,0.00811795767898457
"ENSG00000232131.1","NCOA7-AS1"," lncRNA","chr6",24.2067553102172,-4.3041074686815,0.961341244585542,2.57272398582099e-07,3.76853815407427e-05
"ENSG00000146469.13","VIP"," protein_coding","chr6",97.7242782199202,-4.26459383158312,0.906288430842723,1.32032666305378e-07,2.24036091533007e-05
"ENSG00000105290.13","APLP1"," protein_coding","chr19",2992.10707122732,-4.25891256015232,0.870573017165668,2.90013099705766e-08,6.78522947440458e-06
"ENSG00000279930.1","AL032819.2"," TEC","chr16",87.3254308118633,-4.24096070168846,0.642766788820738,1.59220287507098e-12,1.86581298788396e-09
"ENSG00000130226.17","DPP6"," protein_coding","chr7",154.789824353159,-4.20827115946337,0.96370556474909,3.19516498788452e-07,4.45410750485806e-05
"ENSG00000275465.7","AL449403.2"," lncRNA","chr9",23.4194451146273,-4.15580778784171,0.92799693981756,2.79737841364672e-07,3.98261140304366e-05
"ENSG00000034971.17","MYOC"," protein_coding","chr1",2763.90998878249,-4.15221753512336,1.6469102517505,0.000162235121828755,0.00404229557040297
"ENSG00000164188.9","RANBP3L"," protein_coding","chr5",367.68670025734,-4.13860359377573,0.93561803382116,2.66127742912384e-07,3.88308335854922e-05
"ENSG00000164850.15","GPER1"," protein_coding","chr7",1909.53052776495,-4.12551223661932,0.601826997667956,2.51525139325719e-13,3.77277647983005e-10
"ENSG00000188488.14","SERPINA5"," protein_coding","chr14",935.788975785629,-4.10700898412255,0.879482890961429,8.64883685372734e-08,1.6379936019087e-05
"ENSG00000255545.8","B3GAT1-DT"," lncRNA","chr11",249.169686591328,-4.10385052737196,1.0575226408872,2.6493749049508e-06,0.000216919016508188
"ENSG00000287127.1","AC009879.4"," lncRNA","chr8",20.7672836616863,-4.01243313611123,0.776391464389545,8.12741599413153e-09,2.47780465336535e-06
"ENSG00000144596.13","GRIP2"," protein_coding","chr3",803.247188612602,-3.96742521762705,0.672440270447214,1.21876377912648e-10,6.8212571572334e-08
"ENSG00000165186.12","PTCHD1"," protein_coding","chrX",387.855946301806,-3.91080936140785,0.82032822509253,5.61123397229262e-08,1.1689759040389e-05
"ENSG00000282639.1","IGHV3-64D"," IG_V_gene","chr14",315.550816657306,-3.90227675438471,1.40493596557317,9.54263640192336e-05,0.00275472919504022
"ENSG00000170890.14","PLA2G1B"," protein_coding","chr12",45.3330851570033,-3.89254130313425,0.939690009642786,9.72526050443405e-07,0.000103838521182054
"ENSG00000249448.1","MTCO1P24"," processed_pseudogene","chr5",18.3089415655591,-3.89035569423031,0.851649003476793,1.27436343410335e-07,2.19208047777255e-05
"ENSG00000140287.11","HDC"," protein_coding","chr15",637.239107913342,-3.87179003381701,0.812005626177511,5.52268933263388e-08,1.15695713566725e-05
"ENSG00000260412.1","AL353746.1"," lncRNA","chr9",60.5824198589996,-3.8346805193912,1.00659732043254,3.50441167564041e-06,0.000262299268313053
"ENSG00000186732.14","MPPED1"," protein_coding","chr22",12.2104791023169,-3.8038963881961,0.813552981798997,0.00259026476285204,0.0291076830513002
"ENSG00000259275.4","AC087477.2"," lncRNA","chr15",175.839465169216,-3.79039926831542,0.62932992860921,5.68784253293169e-11,3.49653126462959e-08
"ENSG00000160097.20","FNDC5"," protein_coding","chr1",606.174800152002,-3.76603745212498,0.807862084230419,9.32340420739212e-08,1.74046153366626e-05
"ENSG00000173452.14","TMEM196"," protein_coding","chr7",4.05082519500934,-3.73361291899298,1.0289105849072,1.02226444802845e-05,0.000574782700426211
"ENSG00000225005.1","AC211485.1"," processed_pseudogene","chr7",12.7320569470662,-3.70548051660231,0.66110692772896,8.79314881015642e-10,3.87922690861242e-07
"ENSG00000183549.10","ACSM5"," protein_coding","chr16",45.6306005904771,-3.70442080206872,0.802393320607759,1.02278491487684e-07,1.85282181270371e-05
"ENSG00000027644.5","INSRR"," protein_coding","chr1",55.6634624600835,-3.70229097572739,0.633341151436803,1.96897217862664e-10,1.02547899619889e-07
"ENSG00000136457.10","CHAD"," protein_coding","chr17",430.647044474418,-3.692056188335,0.785274791851905,7.92777778201604e-08,1.52453199511702e-05
"ENSG00000170011.14","MYRIP"," protein_coding","chr3",1266.61872694288,-3.69089550554919,0.711587789295566,6.88891122668761e-09,2.18921425499626e-06
"ENSG00000138615.6","CILP"," protein_coding","chr15",349.954706875295,-3.67740530771653,0.747654739631847,0.000394780671241285,0.00779972623333875
"ENSG00000273771.1","AC024337.2"," lncRNA","chr15",28.3380762583996,-3.66051735576585,0.58776630546124,1.49413388904218e-11,1.12057053410385e-08
"ENSG00000267385.1","AC011498.4"," protein_coding","chr19",43.1831154552449,-3.65804227420157,0.729847682361662,1.94660130751348e-08,5.06913905767001e-06
"ENSG00000101489.20","CELF4"," protein_coding","chr18",97.0877759075088,-3.65417928055651,0.789870025259929,1.09856434068644e-07,1.95237271144079e-05
"ENSG00000013293.6","SLC7A14"," protein_coding","chr3",57.2425165999254,-3.63468204800041,1.08512426742773,1.89132427764254e-05,0.000885427828805465
"ENSG00000101098.13","RIMS4"," protein_coding","chr20",382.535458369144,-3.6217393319056,1.18541452905319,4.6889474174018e-05,0.00165410008659596
"ENSG00000247809.9","NR2F2-AS1"," lncRNA","chr15",204.454655984746,-3.62155831869611,0.571112522341416,7.57125207940105e-12,6.3013228189492e-09
"ENSG00000122012.14","SV2C"," protein_coding","chr5",120.554633969297,-3.6081415878587,0.726926190602318,2.18208391418967e-08,5.56639215634003e-06
"ENSG00000251544.1","MTND5P12"," processed_pseudogene","chr5",39.5949898871069,-3.5669829394218,0.657367408766058,1.71843041262048e-09,6.91351503457267e-07
"ENSG00000006071.15","ABCC8"," protein_coding","chr11",302.125630479694,-3.54984393813137,0.897667984674605,2.10926982922821e-06,0.000182615997282783
"ENSG00000270230.1","MTND6P22"," processed_pseudogene","chr5",285.308393927968,-3.54838626364469,0.856760282354782,9.59432858814221e-07,0.000103088174133738
"ENSG00000253317.1","AC078906.1"," lncRNA","chr8",33.4009412533504,-3.54342192000162,0.999179297287768,1.06688500755174e-05,0.000593577461397369
"ENSG00000163884.4","KLF15"," protein_coding","chr3",1176.00038882687,-3.5334785661842,0.623178237535475,4.86222083480715e-10,2.33754383441581e-07
"ENSG00000066032.18","CTNNA2"," protein_coding","chr2",30.2029233104988,-3.5328474021399,0.981982821283171,7.32932449145098e-06,0.000445449496118185
"ENSG00000161649.13","CD300LG"," protein_coding","chr17",54.7987173991096,-3.53101795763841,0.759958796212844,9.37553614231272e-08,1.74046153366626e-05
"ENSG00000180712.4","LINC02363"," lncRNA","chr4",213.411558966601,-3.52574120159912,0.716772181574634,2.82256266037541e-08,6.65680988688159e-06
"ENSG00000180287.17","PLD5"," protein_coding","chr1",33.2370862823528,-3.52383277915942,0.788903945732089,2.29958385750437e-07,3.50536971839661e-05
"ENSG00000211669.3","IGLV3-10"," IG_V_gene","chr22",1322.49527272918,-3.45618437812486,1.14752272082392,5.45250919476365e-05,0.00183704979599678
"ENSG00000277135.1","AC012409.3"," lncRNA","chr15",18.2464081604971,-3.45530319183549,0.63382851644888,1.42579383823525e-09,5.81150468912865e-07
"ENSG00000004799.8","PDK4"," protein_coding","chr7",17154.4456102718,-3.43615162464037,0.764212247430687,2.14832140202717e-07,3.37163130598359e-05
"ENSG00000227392.2","HPN-AS1"," lncRNA","chr19",110.278638157808,-3.40080949824195,0.764356934983031,2.67473313669617e-07,3.88758984081278e-05
"ENSG00000232177.1","MTND4P24"," processed_pseudogene","chrX",381.622388915027,-3.37471860800561,0.644918734051826,5.6749516302869e-09,1.90004474271543e-06
"ENSG00000120907.18","ADRA1A"," protein_coding","chr8",56.9843219466125,-3.3463498088308,0.910580102415356,6.4856179071818e-06,0.000407377195814757
"ENSG00000170743.17","SYT9"," protein_coding","chr11",32.215755204418,-3.34510775259249,0.847955339263373,2.11353216941059e-06,0.000182615997282783
"ENSG00000167654.18","ATCAY"," protein_coding","chr19",31.3670048731996,-3.33945920160955,0.89968741609669,5.30378702731036e-06,0.000350152657987872
"ENSG00000148288.13","GBGT1"," protein_coding","chr9",786.516497777971,-3.33759123158895,0.719504408216631,1.09629890589431e-07,1.95237271144079e-05
