"EnsemblID","GeneSymbol","Class","Chromosome","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000182938.7","OTOP3"," protein_coding","chr17",80.9234141572299,-12.5901875011561,3.32053768806028,5.41294608043082e-22,1.38341262896554e-19
"ENSG00000183034.13","OTOP2"," protein_coding","chr17",1719.74717463685,-10.2843296752377,0.846741560531521,2.65282397312476e-36,3.74371132694275e-33
"ENSG00000167916.5","KRT24"," protein_coding","chr17",66.9961094366816,-9.86188045792228,1.48278281970053,7.16859892726923e-22,1.78983372293311e-19
"ENSG00000131482.10","G6PC"," protein_coding","chr17",19.5714680627622,-9.838690323208,1.15070834029684,2.43976396429616e-07,3.37121578344507e-06
"ENSG00000182271.13","TMIGD1"," protein_coding","chr17",3053.32725972843,-8.77902980997392,0.849728958965812,1.19762745456271e-26,6.17025268574545e-24
"ENSG00000081800.9","SLC13A1"," protein_coding","chr7",11.692738797459,-8.73563389957199,0.94559685174244,1.75242103009127e-06,1.91386547088501e-05
"ENSG00000103375.11","AQP8"," protein_coding","chr16",28766.6805291176,-8.7322284757981,1.21675132621332,2.43375917864684e-14,1.53686683697508e-12
"ENSG00000157005.4","SST"," protein_coding","chr3",477.905848076041,-8.69064114231304,0.606626738927539,9.97763203549384e-49,5.39756634346765e-45
"ENSG00000257335.8","MGAM"," protein_coding","chr7",68.6195904372356,-8.50680520933388,0.54171811111007,7.81188743693952e-07,9.4435099600813e-06
"ENSG00000133742.14","CA1"," protein_coding","chr8",27875.4851759502,-8.39952426135579,1.05343873366945,5.6125565283508e-17,5.87652773539388e-15
"ENSG00000044012.4","GUCA2B"," protein_coding","chr1",2571.4602374105,-8.22554941231764,0.877138926313031,1.78051000654626e-22,4.85645325987215e-20
"ENSG00000181092.10","ADIPOQ"," protein_coding","chr3",64.8115003747582,-7.97996148251462,1.09554779362135,5.85462562648658e-10,1.5312605848872e-08
"ENSG00000256518.3","FOLR1P1"," unprocessed_pseudogene","chr11",20.521334017277,-7.95236076284188,1.43809260048928,3.38611334214453e-16,3.05295741275909e-14
"ENSG00000107611.16","CUBN"," protein_coding","chr10",34.7598642300141,-7.62990142611747,0.248779299131969,0.000191404232432673,0.00115971599333577
"ENSG00000131096.10","PYY"," protein_coding","chr17",2401.09483048663,-7.59088872541845,0.822185419017058,7.81779540772829e-22,1.93702292629042e-19
