"EnsemblID","GeneSymbol","Class","Chromosome","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000034971.17","MYOC"," protein_coding","chr1",420.204620155929,-7.58338201050501,0.862995019360576,5.79927114680345e-13,5.78121055951769e-11
"ENSG00000241151.1","LINC02066"," lncRNA","chr3",2.9993124112767,-7.3210379569482,2.64132153826278,3.73247293201896e-10,1.67299830756873e-08
"ENSG00000237560.7","LINC01497"," lncRNA","chr17",14.5760942870855,-6.9362775650225,1.17533960711634,1.49356739325395e-13,1.73706866393412e-11
"ENSG00000089199.10","CHGB"," protein_coding","chr20",22.2275062981142,-6.91758107816393,0.552400396833187,0.00644416115434656,0.0266844560688708
"ENSG00000275465.7","AL449403.2"," lncRNA","chr9",12.5466490615514,-6.5594312158518,1.30278967653299,4.02553496216438e-10,1.77791063753009e-08
"ENSG00000176194.18","CIDEA"," protein_coding","chr18",5201.80767077847,-6.40388896941586,0.833517420164453,4.81114541028813e-16,1.23430643022326e-13
"ENSG00000186466.5","AQP7P1"," unprocessed_pseudogene","chr9",111.307091953739,-6.36465331249783,0.863905631576444,5.62617949790792e-15,1.02776454901312e-12
"ENSG00000126545.14","CSN1S1"," protein_coding","chr4",24.5171529527391,-5.96973451723846,0.935448594022211,3.31283646373136e-06,4.77045716285806e-05
"ENSG00000153820.13","SPHKAP"," protein_coding","chr2",143.859315403152,-5.93294223992083,0.763159735309602,2.96092316948937e-16,7.88622674096591e-14
"ENSG00000196616.14","ADH1B"," protein_coding","chr4",60678.9239148144,-5.92442196066865,0.709237693267358,2.22542169550728e-18,1.06366011476636e-15
"ENSG00000236333.4","TRHDE-AS1"," lncRNA","chr12",1227.26715989386,-5.92135408207092,0.779704413586674,9.86453420257702e-16,2.24956511674585e-13
"ENSG00000226482.1","ADIPOQ-AS1"," lncRNA","chr3",18.8658857493562,-5.91816279553679,1.01137144858369,1.4459767881129e-10,7.30124111635994e-09
"ENSG00000253434.8","LINC02237"," lncRNA","chr8",36.818829673455,-5.9092303226474,0.837916535125152,8.01748699993347e-14,1.02094211282729e-11
"ENSG00000144908.14","ALDH1L1"," protein_coding","chr3",4006.94477665068,-5.88541865752607,0.821943987422013,2.51484924372576e-14,3.61093024538417e-12
"ENSG00000259916.1","AL845331.1"," protein_coding","chr2",98.7751650748211,-5.82034751989481,0.960709255191598,4.26608892873715e-11,2.39690996477565e-09
"ENSG00000134548.11","SPX"," protein_coding","chr12",1230.10832791949,-5.78251425815626,0.941236646204367,2.31565965851842e-11,1.40759026385656e-09
"ENSG00000246022.3","ALDH1L1-AS2"," lncRNA","chr3",106.331941928995,-5.70517377004122,0.924305204872601,2.01577903212051e-11,1.24703096116519e-09
"ENSG00000184601.11","C14orf180"," protein_coding","chr14",777.647190467787,-5.63082224097403,0.903591937107945,1.35490506965401e-11,8.95340772448827e-10
"ENSG00000187758.8","ADH1A"," protein_coding","chr4",94.0485684873834,-5.63046001224372,0.770260280395018,8.46764841094494e-15,1.44119375954283e-12
"ENSG00000124440.16","HIF3A"," protein_coding","chr19",690.626803846836,-5.55515288430456,0.60475363420386,1.34547752536185e-21,1.4225774647697e-18
"ENSG00000184811.4","TRARG1"," protein_coding","chr17",12714.4015839366,-5.51078331331067,0.776173872601863,4.0193409548983e-14,5.4780791116155e-12
"ENSG00000286322.1","AL356218.2"," lncRNA","chr9",118.743443439249,-5.47573837612484,0.819327680074717,7.26543624712691e-13,7.04162044718069e-11
"ENSG00000187288.12","CIDEC"," protein_coding","chr3",14880.6430492632,-5.44565943755478,0.808956788246319,5.4879230102036e-13,5.48650778650469e-11
"ENSG00000163710.9","PCOLCE2"," protein_coding","chr3",4468.21238896744,-5.3707612010037,0.731460160341291,6.90577039397189e-15,1.22933283069425e-12
"ENSG00000133317.16","LGALS12"," protein_coding","chr11",2643.78083961256,-5.3329664995713,0.754915646656557,5.23839919700246e-14,6.89709382575897e-12
"ENSG00000166819.12","PLIN1"," protein_coding","chr15",44555.8034865282,-5.31463665681532,0.713015559350119,3.0164099289851e-15,6.11892783908251e-13
"ENSG00000172901.20","LVRN"," protein_coding","chr5",664.891548206018,-5.29650371344974,0.744832464714272,3.72332808377478e-14,5.13480791189667e-12
"ENSG00000173641.18","HSPB7"," protein_coding","chr1",4957.27245909307,-5.29023116436292,0.709577848129667,2.96762877063697e-15,6.05517751089441e-13
"ENSG00000287570.1","AL035447.1"," lncRNA","chr20",7.37424685038604,-5.28836365966186,1.00396350675336,2.19347195273699e-10,1.04552499867413e-08
"ENSG00000214128.11","TMEM213"," protein_coding","chr7",144.98171275464,-5.26514967015991,0.809681523260168,2.44520655861431e-12,2.01736133585519e-10
"ENSG00000163884.4","KLF15"," protein_coding","chr3",1208.57551252023,-5.25228746634612,0.573690258861429,1.93427219646422e-21,1.87468586685648e-18
"ENSG00000286559.1","AC099845.1"," lncRNA","chr18",5.67626817167951,-5.23555530553645,0.703655962567794,5.80937645114773e-06,7.73349690030506e-05
"ENSG00000198848.13","CES1"," protein_coding","chr16",4981.4114812436,-5.21468850062407,0.559696346113562,4.34121808935904e-22,5.40962286985094e-19
"ENSG00000000005.6","TNMD"," protein_coding","chrX",389.252955731573,-5.16027099239722,0.542678218356804,6.89989271487333e-23,1.09429162143021e-19
"ENSG00000181092.10","ADIPOQ"," protein_coding","chr3",29015.1224030234,-5.14880138162692,0.775796061835393,1.02238087282838e-12,9.3381913701191e-11
"ENSG00000260102.2","LINC01070"," lncRNA","chr13",14.148819430784,-5.13604370313265,0.860082150770479,1.59562646799604e-10,7.9532861564071e-09
"ENSG00000167676.4","PLIN4"," protein_coding","chr19",87127.5276396228,-5.11851212994895,0.784057240336748,2.10487232835315e-12,1.76966507008601e-10
"ENSG00000124253.11","PCK1"," protein_coding","chr20",3448.50224970798,-5.07652493167598,0.838571603341123,4.31855048356143e-11,2.41859622667643e-09
"ENSG00000224525.2","AL591686.1"," lncRNA","chr1",53.182075696583,-5.06643118853737,0.60191912838253,1.52034490427669e-18,7.57805057930258e-16
"ENSG00000152785.8","BMP3"," protein_coding","chr4",46.5658718961007,-5.0382466341634,0.606316489916863,6.50151243714271e-07,1.16569512047454e-05
"ENSG00000254135.3","AC091939.1"," lncRNA","chr5",18.9110992294761,-5.0304048542044,1.06803948691445,8.56161281225495e-08,2.02524225513483e-06
"ENSG00000115361.8","ACADL"," protein_coding","chr2",371.779560126112,-4.95427220983344,0.686402794505068,1.77690929116702e-14,2.74328062292516e-12
"ENSG00000198650.11","TAT"," protein_coding","chr16",2196.78484297546,-4.94349228227355,0.917733798050593,2.07265269618256e-09,7.61230791815851e-08
"ENSG00000165197.5","VEGFD"," protein_coding","chrX",774.986176475546,-4.90814270325578,0.547968428319733,1.20774005418812e-20,9.16070831101692e-18
"ENSG00000167434.10","CA4"," protein_coding","chr17",961.252308904575,-4.90787257485533,0.886771764131991,9.23487653139033e-10,3.76322900351817e-08
"ENSG00000278928.1","AC136621.1"," TEC","chr16",9.98761254916133,-4.90579315161896,0.685956403470821,1.05703028274062e-13,1.29406468754748e-11
"ENSG00000206172.8","HBA1"," protein_coding","chr16",11.1043957493101,-4.87786953405825,0.814512107044401,9.52081783727681e-06,0.00011855490905083
"ENSG00000164434.12","FABP7"," protein_coding","chr6",375.647822901515,-4.87270498123504,0.9081736075732,2.42963242604339e-09,8.71246710966905e-08
"ENSG00000254814.1","AP003031.1"," lncRNA","chr11",13.2230813160716,-4.85857504805173,0.880751641504885,2.25863371501587e-09,8.17489511935877e-08
"ENSG00000182021.10","AL591379.1"," transcribed_unprocessed_pseudogene","chr9",4.58287721154812,-4.85635543500678,1.33980352941927,1.76395787945e-06,2.76100206445453e-05
"ENSG00000122756.15","CNTFR"," protein_coding","chr9",1768.69044702595,-4.84007712115704,0.614883284891084,1.23141975091501e-16,3.76890057273469e-14
"ENSG00000181856.15","SLC2A4"," protein_coding","chr17",1192.64403777895,-4.69323189175143,0.653517563525369,2.36600097273614e-14,3.43967249748902e-12
"ENSG00000109846.9","CRYAB"," protein_coding","chr11",19662.8152417226,-4.68545923737944,0.56844566551098,5.51380838003243e-18,2.4047786023464e-15
"ENSG00000180914.10","OXTR"," protein_coding","chr3",6583.59196289704,-4.67477980465655,0.687235979453729,3.47190590533874e-13,3.72733135209766e-11
"ENSG00000267603.1","LINC01028"," lncRNA","chr17",26.1664973791832,-4.66795681432348,1.05511223360034,3.18024193516116e-07,6.34067550626902e-06
