"EnsemblID","GeneSymbol","Class","Chromosome","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000173826.15","KCNH6"," protein_coding","chr17",37.0875520416736,11.5983640874835,1.26899584174477,5.47023049919364e-06,3.3394967231264e-05
"ENSG00000169067.4","ACTBL2"," protein_coding","chr5",4.79800040255515,10.9119009543496,3.11127881968737,3.57832015678475e-05,0.000183663594322109
"ENSG00000167080.9","B4GALNT2"," protein_coding","chr17",189.754369122583,10.5699359972425,1.43781265832447,1.31829743453095e-27,2.45096285493776e-25
"ENSG00000186007.10","LEMD1"," protein_coding","chr1",36.3376231192868,10.1023766443242,3.10632093364099,1.45395177262898e-09,1.74312861717282e-08
"ENSG00000174502.19","SLC26A9"," protein_coding","chr1",30.3358085792831,10.0675611110802,0.723346089948022,3.00340623977868e-06,1.93776502119231e-05
"ENSG00000170231.16","FABP6"," protein_coding","chr5",36.4567195733889,10.067452272062,3.14434927747616,7.88250324234014e-09,8.39141376189122e-08
"ENSG00000074317.11","SNCB"," protein_coding","chr5",2.21208071946466,9.6934985342275,1.19308798402883,0.00182191675629578,0.00604590328377606
"ENSG00000233532.6","LINC00460"," lncRNA","chr13",3.56081542955579,9.53037471885647,3.01305441653203,0.00025263468494094,0.00105233776168665
"ENSG00000132429.10","POPDC3"," protein_coding","chr6",32.3359592010651,9.07084945695551,1.66685610193097,0.000257769207855984,0.00107259201482899
"ENSG00000129991.13","TNNI3"," protein_coding","chr19",17.9450167438829,8.93168653736507,2.95463027378128,1.91579116171565e-08,1.89751145657331e-07
"ENSG00000231290.6","APCDD1L-DT"," lncRNA","chr20",19.0401646988764,8.79777433217475,1.31081671475606,8.74002012568079e-07,6.3103377981679e-06
"ENSG00000187908.20","DMBT1"," protein_coding","chr10",527.583011206882,8.69322442797085,1.63547899838677,2.31415872301352e-09,2.67545365800956e-08
"ENSG00000123999.5","INHA"," protein_coding","chr2",30.6721096152099,8.66737314450665,0.426111109935605,1.242814988465e-10,1.78491730174965e-09
"ENSG00000276740.1","AL445649.1"," lncRNA","chr13",14.6502349163277,8.60590870618566,2.89538526914541,2.21328948590423e-08,2.16890797111165e-07
"ENSG00000137868.19","STRA6"," protein_coding","chr15",192.107156200637,8.59460566513298,1.01066605169614,1.24386447041431e-14,3.49540296122495e-13
"ENSG00000234602.9","MCIDAS"," protein_coding","chr5",12.5219958129971,8.53090421783943,2.70406950106784,2.24193750209822e-14,6.01610625563044e-13
"ENSG00000107984.10","DKK1"," protein_coding","chr10",460.144195399638,8.51246633914625,0.880308038439242,2.87767279860592e-14,7.57376684635227e-13
"ENSG00000168959.14","GRM5"," protein_coding","chr11",14.5125281954375,8.49012509556395,2.97458650484874,5.33740604938015e-07,4.01565120078332e-06
"ENSG00000230156.3","LINC00443"," lncRNA","chr13",2.61396237049752,8.45774230379465,1.50597689837648,0.000365529273342315,0.00146285412482502
"ENSG00000268104.3","SLC6A14"," protein_coding","chrX",35.8873170430436,8.43992453724059,2.24893579814345,2.18264731200512e-05,0.000117269551379402
"ENSG00000197587.11","DMBX1"," protein_coding","chr1",84.7077296533906,8.35997176387163,1.32121257975569,2.51348606487222e-14,6.65902588794347e-13
"ENSG00000102837.7","OLFM4"," protein_coding","chr13",606.420457638331,8.34726301661325,1.35921703838269,2.77224942351589e-07,2.20697989723076e-06
"ENSG00000142698.15","C1orf94"," protein_coding","chr1",6.40496373606607,8.31856990687024,1.606420691152,0.000788641167322341,0.00289539008302396
"ENSG00000185479.6","KRT6B"," protein_coding","chr12",273.278691522115,8.27566753230101,1.20197751477004,1.43210273837693e-08,1.45398554736222e-07
"ENSG00000198768.11","APCDD1L"," protein_coding","chr20",38.1221587327351,8.23585372550983,1.15626028895831,0.00405636441458714,0.0121628385700136
"ENSG00000145681.11","HAPLN1"," protein_coding","chr5",1.59420607623911,8.17233754951976,2.92096083703795,0.00860476981210393,0.0231692541908298
"ENSG00000170373.8","CST1"," protein_coding","chr20",101.854692014368,8.08833708510684,1.35280356916846,1.68980349919048e-11,2.84693412280961e-10
"ENSG00000243479.3","MNX1-AS1"," lncRNA","chr7",38.8516670081734,8.02892386504182,1.58550185221837,1.04230097735424e-11,1.8096950719313e-10
"ENSG00000170689.10","HOXB9"," protein_coding","chr17",98.2641105076828,8.02858849068127,1.38881328357288,6.98968990161593e-11,1.04769920215948e-09
"ENSG00000153294.12","ADGRF4"," protein_coding","chr6",112.989631596785,7.9747561411219,1.15514444822584,2.01727613614414e-13,4.63687372854124e-12
"ENSG00000242515.5","UGT1A10"," protein_coding","chr2",227.316613642525,7.97325431597647,1.50624858721464,3.7044876689292e-09,4.14962368721183e-08
