"EnsemblID","GeneSymbol","Class","Chromosome","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000460.17","C1orf112"," protein_coding","chr1",272.770687384719,1.07202467445338,0.278494740882757,4.67657834859039e-06,4.54379349591646e-05
"ENSG00000000971.16","CFH"," protein_coding","chr1",1506.93143345506,-1.71288995332359,0.338407265254616,1.65917922249868e-08,3.07911030325112e-07
"ENSG00000002079.14","MYH16"," transcribed_unitary_pseudogene","chr7",6.50677178244428,1.34962060679138,0.55137921462401,0.00045643587669815,0.00244391218836498
"ENSG00000003147.19","ICA1"," protein_coding","chr7",2157.73419341571,1.06490849642762,0.220950569164585,6.17314090410994e-08,1.001839037328e-06
"ENSG00000003249.15","DBNDD1"," protein_coding","chr16",701.687398391018,2.48903322732249,0.434321145122641,4.35963220187172e-10,1.1792078500696e-08
"ENSG00000004799.8","PDK4"," protein_coding","chr7",3179.19933706599,-3.37942472123358,0.402053255704134,1.86692088943971e-18,2.49368387775449e-16
"ENSG00000004846.16","ABCB5"," protein_coding","chr7",34.4578188542355,-4.38582215031632,0.892678483003604,4.69693775613925e-08,7.82613992242134e-07
"ENSG00000005001.10","PRSS22"," protein_coding","chr16",505.011875652392,4.08898957783118,0.500464153655597,1.35114004497051e-17,1.53340222306479e-15
"ENSG00000005108.16","THSD7A"," protein_coding","chr7",106.278047568065,-1.79054241062305,0.488837296973951,8.67067150379108e-06,7.86564157825743e-05
"ENSG00000005238.20","FAM214B"," protein_coding","chr9",1197.12286009659,-1.05653949323655,0.241800656865093,4.86026671900578e-07,6.15988040474384e-06
"ENSG00000005249.13","PRKAR2B"," protein_coding","chr7",621.73299183204,-2.12514997699849,0.253789693391025,2.41869131067894e-18,3.16555978072649e-16
"ENSG00000006015.18","REX1BD"," protein_coding","chr19",1337.45272443207,1.00852388017702,0.293648999572889,2.19504496328292e-05,0.000176917840534568
"ENSG00000006016.11","CRLF1"," protein_coding","chr19",42.6787922660124,-2.51962970859929,0.495441387346486,1.42118521623838e-08,2.6803503630834e-07
"ENSG00000006118.15","TMEM132A"," protein_coding","chr11",1028.38739393923,2.43845587248576,0.376945810434327,4.58814242425818e-12,1.86385390246023e-10
"ENSG00000006327.14","TNFRSF12A"," protein_coding","chr16",1081.891294965,1.74663869152383,0.439096075017181,2.62142537321732e-06,2.72537555297527e-05
"ENSG00000006377.11","DLX6"," protein_coding","chr7",24.4436383876869,3.83601971835342,1.03189019858428,6.10431352907659e-06,5.75635701704729e-05
"ENSG00000006555.11","TTC22"," protein_coding","chr1",2674.34237454591,-1.17897515253332,0.251723740224059,1.12999753425835e-07,1.71952461167171e-06
"ENSG00000006606.9","CCL26"," protein_coding","chr7",28.3313944821421,1.4721045822518,0.654598934264179,0.000615470893775591,0.00316642166273072
"ENSG00000006625.18","GGCT"," protein_coding","chr7",924.548715208183,1.11480484868908,0.171579841117661,3.62137684748647e-12,1.50889152395014e-10
