"EnsemblID","GeneSymbol","Class","Chromosome","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000126550.10","HTN1"," protein_coding","chr4",15.8738603625497,-11.7758124840404,1.09036937023279,3.28090190363097e-05,0.000929935410951804
"ENSG00000197870.12","PRB3"," protein_coding","chr12",570.342300686922,-11.3098853933242,1.16421298884119,2.02843122004997e-11,9.49087364544303e-09
"ENSG00000151365.2","THRSP"," protein_coding","chr11",48.6114161934118,-9.72192495248547,1.17404858977006,2.27238371167996e-05,0.000711672366133332
"ENSG00000157330.10","C1orf158"," protein_coding","chr1",12.3839294146715,-8.62046376924089,1.5033591806374,4.21975537544001e-06,0.000202103023989381
"ENSG00000181378.14","CFAP65"," protein_coding","chr2",12.3146659613045,-8.47040761196773,1.32892074330377,0.000779657173586735,0.00948848084045353
"ENSG00000187533.14","PRR27"," protein_coding","chr4",7.65962599134872,-8.25152529313091,1.00621494694647,2.05978202488475e-05,0.000667136855408092
"ENSG00000178965.14","ERICH3"," protein_coding","chr1",18.2211464211883,-7.82040325928961,1.167743393031,0.00265672998724167,0.0224403821825579
"ENSG00000165309.14","ARMC3"," protein_coding","chr10",14.0239339176838,-7.41109789273856,1.10576819033051,0.00207204702087212,0.018727241024007
"ENSG00000157423.18","HYDIN"," protein_coding","chr16",11.7523931294747,-7.34231203448996,0.923389151566253,0.00262707100599579,0.0222799615925581
"ENSG00000204711.9","C9orf135"," protein_coding","chr9",6.12168307234519,-6.93200550538658,1.35354718271009,0.00731840533308343,0.0455162906738377
"ENSG00000160838.14","LRRC71"," protein_coding","chr1",4.5125948139852,-6.79251206626036,0.739063935448907,0.0042229008636349,0.0310444969702026
"ENSG00000188523.9","CFAP77"," protein_coding","chr9",8.07590009468166,-6.70859604165381,0.781043239770286,0.00039742240632905,0.00583621808000261
"ENSG00000004838.14","ZMYND10"," protein_coding","chr3",38.9991120424246,-6.61717943349527,0.697583461695645,0.00041627167342018,0.00603439070428024
"ENSG00000153822.14","KCNJ16"," protein_coding","chr17",183.720546687763,-6.58338041475964,1.27202885458918,8.5085965579064e-09,1.48314902338198e-06
"ENSG00000160188.10","RSPH1"," protein_coding","chr21",48.9670774519277,-6.47495907075076,0.584568524736772,4.54999820598804e-08,5.60239252788317e-06
"ENSG00000152611.12","CAPSL"," protein_coding","chr5",16.2448723071422,-6.46779479839752,1.24875607855316,0.00750176854591946,0.0463562455093706
"ENSG00000230873.9","STMND1"," protein_coding","chr6",8.36853330685935,-6.26186801077057,0.678305984884446,7.46522779620963e-06,0.000316652681961121
"ENSG00000173702.7","MUC13"," protein_coding","chr3",316.547014712791,-6.19935200126539,1.8965752034366,0.000403742229657644,0.00590337136085477
"ENSG00000131050.11","BPIFA2"," protein_coding","chr20",10.5420925036419,-6.1840334330545,1.45761710148053,0.000268268672635218,0.00434675287205908
"ENSG00000270765.6","GAS2L2"," protein_coding","chr17",13.6959906199723,-6.12518121464242,0.666429775009589,6.2316525827242e-05,0.00149889314215135
"ENSG00000012223.13","LTF"," protein_coding","chr3",81468.0408323569,-6.10390082204818,1.20497015137965,1.19503300218809e-08,1.90285542908619e-06
"ENSG00000103089.9","FA2H"," protein_coding","chr16",1893.31959103265,-6.09236021928636,0.959412918616149,7.71708769185116e-12,4.42146787370281e-09
"ENSG00000164972.13","C9orf24"," protein_coding","chr9",30.4424264583724,-6.01886074015866,0.629873708689796,3.84026301653694e-05,0.00105219746956701
"ENSG00000119915.5","ELOVL3"," protein_coding","chr10",14.0898595146971,-5.92272248208607,0.50429554235451,0.00457932683447053,0.0327234649945376
"ENSG00000187492.9","CDHR4"," protein_coding","chr3",13.5784454709692,-5.64285112137587,0.626505093370076,0.00567425010807616,0.0380279789636228
"ENSG00000162896.6","PIGR"," protein_coding","chr1",34878.19289437,-5.5059500410886,1.48610836539561,4.6183121522858e-06,0.000215755341762624
"ENSG00000156076.10","WIF1"," protein_coding","chr12",405.933833587737,-5.48029062605721,0.857231186177407,6.75794933178368e-12,4.02999045152033e-09
"ENSG00000197748.13","CFAP43"," protein_coding","chr10",35.5198624039914,-5.37756732400521,0.592438085521379,0.00591112362038574,0.0391580783280354
"ENSG00000187288.12","CIDEC"," protein_coding","chr3",249.407605303539,-5.18400794105066,1.14649099435804,1.75667797591789e-07,1.63781995888829e-05
"ENSG00000187905.10","LRRC74B"," protein_coding","chr22",2.53629828750019,-5.1716205818506,0.813425048655692,0.000642940899856904,0.00823500305434841
"ENSG00000127318.11","IL22"," protein_coding","chr12",30.5208117460973,-5.10814399155593,1.25204310419603,1.3537602852904e-06,8.23438231130737e-05
"ENSG00000203985.11","LDLRAD1"," protein_coding","chr1",50.4641895095182,-5.04512060608306,0.950691493318588,4.66969477867121e-05,0.00120970551366037
"ENSG00000101441.4","CST4"," protein_coding","chr20",33.1590812146724,-4.98317845822187,1.32347583464249,3.76091231744863e-06,0.000185068301609071
"ENSG00000250803.6","AC010255.2"," protein_coding","chr5",17.869751119116,-4.8837383044195,0.792772556519961,0.000272354098838435,0.0043988875241494
"ENSG00000198488.10","B3GNT6"," protein_coding","chr11",249.22360846742,-4.79631639757942,0.973556682085483,2.79898865797953e-08,3.71727694563893e-06
"ENSG00000100012.12","SEC14L3"," protein_coding","chr22",3.37970857459943,-4.76443214224279,1.01312798037898,0.00445420042230253,0.0320724181454839
"ENSG00000124664.11","SPDEF"," protein_coding","chr6",900.934054742674,-4.75312647510754,1.444173850245,2.14551830262169e-05,0.000681835403737025
"ENSG00000229453.2","SPINK8"," protein_coding","chr3",18.205774706874,-4.6061352384521,0.907758510219512,2.06065149603561e-08,2.93188234207625e-06
"ENSG00000114638.8","UPK1B"," protein_coding","chr3",1280.79509148117,-4.49142557499659,1.21139910612566,0.000271518733457586,0.00439005807583497
"ENSG00000176136.6","MC5R"," protein_coding","chr18",32.7696978335724,-4.47172007501071,1.10996552473443,1.81600376479524e-06,0.000105048959103884
"ENSG00000124939.6","SCGB2A1"," protein_coding","chr11",58.7525298489788,-4.47130586709077,1.093764500436,1.49652914018519e-06,8.9771086273081e-05
"ENSG00000127324.9","TSPAN8"," protein_coding","chr12",381.227580588658,-4.46310947339627,0.931432258883405,5.51608744874906e-08,6.55315498354708e-06
